id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
61,25330,2020-03-30 01:30:00,25334,2020-03-30 03:30:00,BUY,1630.0,1618.5817857142856,1618.5817857142856,1652.8364285714288,0.1,-114.88214285714385,-1141.8214285714384,-1.0,SL,2020Q1,2020,4
62,25533,2020-04-03 11:00:00,25534,2020-04-03 11:30:00,BUY,1615.03,1610.3735714285713,1610.3735714285713,1624.3428571428572,0.1,-47.264285714287055,-465.6428571428705,-1.0,SL,2020Q2,2020,1
63,25541,2020-04-03 15:00:00,25541,2020-04-03 15:00:00,BUY,1620.6,1613.5960714285713,1613.5960714285713,1634.6078571428573,0.1,-70.7392857142856,-700.392857142856,-1.0,SL,2020Q2,2020,0
64,25761,2020-04-13 10:00:00,25777,2020-04-13 18:00:00,BUY,1689.56,1701.5685714285714,1683.5557142857142,1701.5685714285714,0.1,119.38571428571485,1200.8571428571486,1.9654280338664158,TP,2020Q2,2020,16
65,25899,2020-04-16 10:00:00,25906,2020-04-16 13:30:00,BUY,1722.11,1732.34,1716.995,1732.34,0.1,101.60000000000018,1023.0000000000018,1.9594985535197684,TP,2020Q2,2020,7
66,26086,2020-04-22 11:30:00,26094,2020-04-22 15:30:00,BUY,1695.86,1709.855,1688.8625,1709.855,0.1,139.2500000000012,1399.5000000000118,1.9702865228157378,TP,2020Q2,2020,8
67,26132,2020-04-23 11:30:00,26145,2020-04-23 18:00:00,BUY,1723.97,1737.8685714285714,1717.0207142857143,1737.8685714285714,0.1,138.2857142857136,1389.8571428571358,1.9700824259692682,TP,2020Q2,2020,13
68,26339,2020-04-29 23:00:00,26370,2020-04-30 15:30:00,BUY,1714.49,1705.9185714285713,1705.9185714285713,1731.6328571428571,0.1,-86.41428571428669,-857.1428571428669,-1.0,SL,2020Q2,2020,31
69,26518,2020-05-05 20:30:00,26554,2020-05-06 15:30:00,BUY,1703.75,1696.2350000000001,1696.2350000000001,1718.78,0.1,-75.84999999999873,-751.4999999999873,-1.0,SL,2020Q2,2020,36
70,26720,2020-05-12 06:30:00,26740,2020-05-12 16:30:00,BUY,1701.04,1708.1135714285713,1697.5032142857142,1708.1135714285713,0.1,70.03571428571313,707.3571428571313,1.9417764135062254,TP,2020Q2,2020,20
71,26782,2020-05-13 14:30:00,26785,2020-05-13 16:00:00,BUY,1706.75,1703.1457142857143,1703.1457142857143,1713.9585714285713,0.1,-36.74285714285652,-360.4285714285652,-1.0,SL_AMBIGUOUS_PESSIMISTIC,2020Q2,2020,3
72,26864,2020-05-15 09:30:00,26871,2020-05-15 13:00:00,BUY,1736.35,1732.0567857142855,1732.0567857142855,1744.9364285714285,0.1,-43.63214285714385,-429.32142857143845,-1.0,SL,2020Q2,2020,7
73,27168,2020-05-26 04:30:00,27179,2020-05-26 10:00:00,BUY,1732.89,1728.069642857143,1728.069642857143,1742.5307142857143,0.1,-48.9035714285712,-482.03571428571195,-1.0,SL,2020Q2,2020,11
74,27320,2020-05-29 11:30:00,27328,2020-05-29 15:30:00,BUY,1724.16,1732.4657142857143,1720.007142857143,1732.4657142857143,0.1,82.35714285714202,830.5714285714203,1.9502706359945865,TP,2020Q2,2020,8
75,27684,2020-06-10 09:30:00,27699,2020-06-10 17:00:00,BUY,1719.02,1726.4492857142857,1715.3053571428572,1726.4492857142857,0.1,73.59285714285697,742.9285714285697,1.9445125979051254,TP,2020Q2,2020,15
76,27777,2020-06-12 10:00:00,27790,2020-06-12 16:30:00,BUY,1731.99,1741.4892857142856,1727.2403571428572,1741.4892857142856,0.1,94.29285714285633,949.9285714285634,1.9564283067802886,TP,2020Q2,2020,13
77,27913,2020-06-17 09:00:00,27916,2020-06-17 10:30:00,BUY,1728.5,1725.340357142857,1725.340357142857,1734.8192857142858,0.1,-32.29642857142899,-315.9642857142899,-1.0,SL,2020Q2,2020,3
78,27965,2020-06-18 12:00:00,27966,2020-06-18 12:30:00,BUY,1733.24,1729.6110714285714,1729.6110714285714,1740.4978571428571,0.1,-36.9892857142856,-362.892857142856,-1.0,SL,2020Q2,2020,1
79,28149,2020-06-24 12:00:00,28156,2020-06-24 15:30:00,BUY,1775.31,1771.1817857142858,1771.1817857142858,1783.5664285714286,0.1,-41.98214285714194,-412.82142857141935,-1.0,SL,2020Q2,2020,7
80,28191,2020-06-25 10:00:00,28194,2020-06-25 11:30:00,BUY,1766.83,1762.5035714285714,1762.5035714285714,1775.482857142857,0.1,-43.96428571428551,-432.64285714285506,-1.0,SL,2020Q2,2020,3
81,28599,2020-07-08 11:00:00,28602,2020-07-08 12:30:00,BUY,1796.31,1802.0442857142857,1793.442857142857,1802.0442857142857,0.1,56.64285714285761,573.4285714285761,1.9285019455252923,TP,2020Q3,2020,3
82,29010,2020-07-21 09:30:00,29017,2020-07-21 13:00:00,BUY,1820.14,1825.469285714286,1817.4753571428573,1825.469285714286,0.1,52.59285714285788,532.9285714285788,1.9232075225284864,TP,2020Q3,2020,7
83,29150,2020-07-24 10:30:00,29156,2020-07-24 13:30:00,BUY,1893.38,1887.6275,1887.6275,1904.885,0.1,-58.22500000000055,-575.2500000000055,-1.0,SL,2020Q3,2020,6
84,29310,2020-07-29 21:30:00,29311,2020-07-29 22:00:00,BUY,1967.2,1958.0853571428572,1958.0853571428572,1985.4292857142857,0.1,-91.84642857142826,-911.4642857142826,-1.0,SL,2020Q3,2020,1
85,29408,2020-08-03 01:30:00,29412,2020-08-03 03:30:00,BUY,1982.49,1973.919642857143,1973.919642857143,1999.6307142857142,0.1,-86.4035714285712,-857.035714285712,-1.0,SL,2020Q3,2020,4
86,29486,2020-08-04 17:30:00,29488,2020-08-04 18:30:00,BUY,1983.12,1996.3757142857141,1976.4921428571427,1996.3757142857141,0.1,131.8571428571425,1325.5714285714248,1.9686466887063758,TP,2020Q3,2020,2
87,29669,2020-08-10 17:00:00,29670,2020-08-10 17:30:00,BUY,2047.62,2040.2839285714285,2040.2839285714285,2062.2921428571426,0.1,-74.06071428571359,-733.6071428571358,-1.0,SL,2020Q3,2020,1
88,29807,2020-08-13 17:00:00,29813,2020-08-13 20:00:00,BUY,1940.89,1963.2657142857145,1929.702142857143,1963.2657142857145,0.1,223.05714285714367,2237.5714285714366,1.981346361271493,TP,2020Q3,2020,6
