id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
2739,59070,2023-02-27 06:30:00+00:00,59089,2023-02-27 16:00:00+00:00,BUY,1809.21,1816.552665984664,1805.538667007668,1816.552665984664,0.1,72.72665984663881,734.2665984663881,1.9438702728597994,TP,2023Q1,2023,19,2023-02-27 06:30:00+00:00,2023Q1,2023
2740,59100,2023-02-27 21:30:00+00:00,59123,2023-02-28 10:00:00+00:00,SELL,1818.58,1810.1344336682205,1822.8027831658897,1810.1344336682205,0.1,83.75566331779446,844.5566331779446,1.9510806877764868,TP,2023Q1,2023,23,2023-02-27 21:30:00+00:00,2023Q1,2023
2741,59133,2023-02-28 15:00:00+00:00,59136,2023-02-28 16:30:00+00:00,BUY,1809.45,1817.0344979350634,1805.6577510324682,1817.0344979350634,0.1,75.14497935063382,758.4497935063382,1.9456275341735854,TP,2023Q1,2023,3,2023-02-28 15:00:00+00:00,2023Q1,2023
2742,59141,2023-02-28 19:00:00+00:00,59162,2023-03-01 06:30:00+00:00,SELL,1826.58,1831.7105114718888,1831.7105114718888,1816.3189770562221,0.1,-52.00511471888895,-513.0511471888894,-1.0,SL,2023Q1,2023,21,2023-02-28 19:00:00+00:00,2023Q1,2023
2743,59163,2023-03-01 07:00:00+00:00,59165,2023-03-01 08:00:00+00:00,SELL,1829.87,1833.375815757619,1833.375815757619,1822.8583684847617,0.1,-35.758157576190754,-350.5815757619075,-1.0,SL,2023Q1,2023,2,2023-03-01 07:00:00+00:00,2023Q1,2023
2744,59168,2023-03-01 09:30:00+00:00,59171,2023-03-01 11:00:00+00:00,SELL,1834.23,1837.7920834605627,1837.7920834605627,1827.1058330788746,0.1,-36.3208346056269,-356.20834605626897,-1.0,SL,2023Q1,2023,3,2023-03-01 09:30:00+00:00,2023Q1,2023
2745,59172,2023-03-01 11:30:00+00:00,59175,2023-03-01 13:00:00+00:00,SELL,1831.85,1836.308853621333,1836.308853621333,1822.9322927573337,0.1,-45.28853621332992,-445.88536213329917,-1.0,SL,2023Q1,2023,3,2023-03-01 11:30:00+00:00,2023Q1,2023
2746,59177,2023-03-01 14:00:00+00:00,59178,2023-03-01 14:30:00+00:00,SELL,1835.23,1839.8130402652646,1839.8130402652646,1826.063919469471,0.1,-46.53040265264572,-458.30402652645716,-1.0,SL,2023Q1,2023,1,2023-03-01 14:00:00+00:00,2023Q1,2023
2747,59180,2023-03-01 15:30:00+00:00,59182,2023-03-01 16:30:00+00:00,SELL,1836.81,1841.781437486438,1841.781437486438,1826.8671250271238,0.1,-50.41437486438163,-497.14374864381625,-1.0,SL,2023Q1,2023,2,2023-03-01 15:30:00+00:00,2023Q1,2023
2748,59184,2023-03-01 17:30:00+00:00,59258,2023-03-03 08:30:00+00:00,SELL,1838.07,1844.0954122253788,1844.0954122253788,1826.019175549242,0.1,-60.95412225378887,-602.5412225378886,-1.0,SL,2023Q1,2023,74,2023-03-01 17:30:00+00:00,2023Q1,2023
2749,59261,2023-03-03 10:00:00+00:00,59262,2023-03-03 10:30:00+00:00,SELL,1842.63,1845.800548293223,1845.800548293223,1836.288903413554,0.1,-32.405482932229646,-317.0548293222964,-1.0,SL,2023Q1,2023,1,2023-03-03 10:00:00+00:00,2023Q1,2023
2750,59265,2023-03-03 12:00:00+00:00,59267,2023-03-03 13:00:00+00:00,SELL,1845.84,1849.1482654311417,1849.1482654311417,1839.2234691377164,0.1,-33.78265431141763,-330.8265431141763,-1.0,SL,2023Q1,2023,2,2023-03-03 12:00:00+00:00,2023Q1,2023
2751,59270,2023-03-03 14:30:00+00:00,59275,2023-03-03 17:00:00+00:00,SELL,1846.29,1839.4616673420119,1849.704166328994,1839.4616673420119,0.1,67.58332657988085,682.8332657988085,1.9397273321160209,TP,2023Q1,2023,5,2023-03-03 14:30:00+00:00,2023Q1,2023
2752,59280,2023-03-03 19:30:00+00:00,59283,2023-03-03 21:00:00+00:00,SELL,1846.54,1850.875141096132,1850.875141096132,1837.869717807736,0.1,-44.0514109613202,-433.514109613202,-1.0,SL,2023Q1,2023,3,2023-03-03 19:30:00+00:00,2023Q1,2023
2753,59287,2023-03-03 23:00:00+00:00,59328,2023-03-06 20:30:00+00:00,SELL,1854.97,1846.6794142053557,1859.1152928973222,1846.6794142053557,0.1,82.20585794644357,829.0585794644358,1.9501813978019402,TP,2023Q1,2023,41,2023-03-03 23:00:00+00:00,2023Q1,2023
2754,59339,2023-03-07 03:00:00+00:00,59357,2023-03-07 12:00:00+00:00,BUY,1846.04,1843.1187497079463,1843.1187497079463,1851.8825005841072,0.1,-29.91250292053628,-292.1250292053628,-1.0,SL,2023Q1,2023,18,2023-03-07 03:00:00+00:00,2023Q1,2023
2755,59358,2023-03-07 12:30:00+00:00,59361,2023-03-07 14:00:00+00:00,BUY,1844.19,1840.710882059296,1840.710882059296,1851.1482358814083,0.1,-35.491179407041,-347.91179407041,-1.0,SL,2023Q1,2023,3,2023-03-07 12:30:00+00:00,2023Q1,2023
