id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars
160,29486,2020-08-04 17:30:00,29488,2020-08-04 18:30:00,BUY,1983.12,1996.3757142857141,1976.4921428571427,1996.3757142857141,0.1,131.8571428571425,1325.5714285714248,1.9686466887063758,TP,2020Q3,2020,2
161,29623,2020-08-07 17:00:00,29689,2020-08-11 04:00:00,SELL,2046.29,2015.0439285714283,2056.7053571428573,2015.0439285714283,0.1,311.7607142857167,3124.6071428571668,2.9732960931911423,TP,2020Q3,2020,66
162,29807,2020-08-13 17:00:00,29813,2020-08-13 20:00:00,BUY,1940.89,1963.2657142857145,1929.702142857143,1963.2657142857145,0.1,223.05714285714367,2237.5714285714366,1.981346361271493,TP,2020Q3,2020,6
163,29859,2020-08-14 20:00:00,29860,2020-08-14 20:30:00,SELL,1933.75,1943.7089285714285,1943.7089285714285,1903.8732142857143,0.1,-100.28928571428487,-995.8928571428487,-1.0,SL,2020Q3,2020,1
164,30116,2020-08-24 10:30:00,30125,2020-08-24 15:00:00,BUY,1944.6,1956.8271428571427,1938.4864285714284,1956.8271428571427,0.1,121.5714285714278,1222.714285714278,1.9660390435485369,TP,2020Q3,2020,9
165,30266,2020-08-27 16:30:00,30266,2020-08-27 16:30:00,BUY,1970.51,1959.2096428571429,1959.2096428571429,1993.1107142857143,0.1,-113.70357142857138,-1130.0357142857138,-1.0,SL,2020Q3,2020,0
166,30541,2020-09-04 16:00:00,30552,2020-09-04 21:30:00,SELL,1927.3,1934.5525,1934.5525,1905.5424999999998,0.1,-73.22500000000055,-725.2500000000055,-1.0,SL,2020Q3,2020,11
167,30603,2020-09-08 05:00:00,30610,2020-09-08 08:30:00,SELL,1925.77,1929.9989285714287,1929.9989285714287,1913.0832142857141,0.1,-42.989285714286964,-422.8928571428696,-1.0,SL,2020Q3,2020,7
168,30667,2020-09-09 14:00:00,30669,2020-09-09 15:00:00,SELL,1922.3,1928.405,1928.405,1903.9850000000001,0.1,-61.750000000000185,-610.5000000000018,-1.0,SL,2020Q3,2020,2
169,31478,2020-10-05 05:30:00,31496,2020-10-05 14:30:00,SELL,1897.96,1902.619642857143,1902.619642857143,1883.9810714285716,0.1,-47.29642857142899,-465.9642857142899,-1.0,SL,2020Q4,2020,18
170,31542,2020-10-06 14:30:00,31546,2020-10-06 16:30:00,BUY,1916.27,1912.2382142857143,1912.2382142857143,1924.3335714285713,0.1,-41.01785714285661,-403.1785714285661,-1.0,SL,2020Q4,2020,4
171,31618,2020-10-08 06:30:00,31621,2020-10-08 08:00:00,SELL,1884.36,1887.6792857142857,1887.6792857142857,1874.4021428571427,0.1,-33.89285714285798,-331.92857142857974,-1.0,SL,2020Q4,2020,3
172,31750,2020-10-13 03:30:00,31756,2020-10-13 06:30:00,SELL,1920.19,1910.952142857143,1923.2692857142858,1910.952142857143,0.1,91.67857142857137,923.7857142857138,2.9110909503288025,TP,2020Q4,2020,6
