id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter
3063,56674,2022-11-21 17:30:00,56691,2022-11-22 03:00:00,SELL,1736.86,1742.2803571428572,1742.2803571428572,1726.0192857142856,0.1,-54.90357142857256,-542.0357142857256,-1.0,SL,2022Q4,2022,17,2022-11-21 17:30:00,2022Q4
3064,56697,2022-11-22 06:00:00,56700,2022-11-22 07:30:00,BUY,1744.31,1741.4064285714285,1741.4064285714285,1750.1171428571429,0.1,-29.735714285714675,-290.35714285714675,-1.0,SL,2022Q4,2022,3,2022-11-22 06:00:00,2022Q4
3065,56706,2022-11-22 10:30:00,56717,2022-11-22 16:00:00,BUY,1745.96,1742.7853571428573,1742.7853571428573,1752.3092857142858,0.1,-32.44642857142772,-317.46428571427714,-1.0,SL,2022Q4,2022,11,2022-11-22 10:30:00,2022Q4
3066,56729,2022-11-22 22:00:00,56735,2022-11-23 02:00:00,SELL,1738.06,1741.8592857142855,1741.8592857142855,1730.4614285714288,0.1,-38.692857142855885,-379.9285714285588,-1.0,SL,2022Q4,2022,6,2022-11-22 22:00:00,2022Q4
3067,56742,2022-11-23 05:30:00,56743,2022-11-23 06:00:00,SELL,1738.88,1733.6750000000002,1741.4825,1733.6750000000002,0.1,51.34999999999927,520.4999999999927,1.9214218896164628,TP,2022Q4,2022,1,2022-11-23 05:30:00,2022Q4
3068,56744,2022-11-23 06:30:00,56747,2022-11-23 08:00:00,SELL,1734.03,1737.0417857142857,1737.0417857142857,1728.0064285714286,0.1,-30.81785714285679,-301.1785714285679,-1.0,SL,2022Q4,2022,3,2022-11-23 06:30:00,2022Q4
3069,56748,2022-11-23 08:30:00,56748,2022-11-23 08:30:00,SELL,1736.64,1739.769642857143,1739.769642857143,1730.3807142857145,0.1,-31.99642857142926,-312.9642857142926,-1.0,SL,2022Q4,2022,0,2022-11-23 08:30:00,2022Q4
3070,56756,2022-11-23 12:30:00,56762,2022-11-23 15:30:00,SELL,1735.6,1725.9657142857143,1740.4171428571426,1725.9657142857143,0.1,95.64285714285624,963.4285714285625,1.957030108155555,TP,2022Q4,2022,6,2022-11-23 12:30:00,2022Q4
3071,56763,2022-11-23 16:00:00,56764,2022-11-23 16:30:00,SELL,1736.72,1742.8614285714286,1742.8614285714286,1724.437142857143,0.1,-62.114285714286055,-614.1428571428605,-1.0,SL,2022Q4,2022,1,2022-11-23 16:00:00,2022Q4
3072,56767,2022-11-23 18:00:00,56799,2022-11-24 11:00:00,BUY,1743.62,1757.852857142857,1736.5035714285714,1757.852857142857,0.1,141.6285714285703,1423.2857142857029,1.9707782526587814,TP,2022Q4,2022,32,2022-11-23 18:00:00,2022Q4
3073,56800,2022-11-24 11:30:00,56818,2022-11-24 20:30:00,BUY,1757.36,1754.2207142857142,1754.2207142857142,1763.6385714285714,0.1,-32.09285714285734,-313.9285714285734,-1.0,SL,2022Q4,2022,18,2022-11-24 11:30:00,2022Q4
3074,56826,2022-11-25 04:00:00,56836,2022-11-25 09:00:00,BUY,1756.79,1754.3310714285712,1754.3310714285712,1761.7078571428572,0.1,-25.289285714287143,-245.89285714287143,-1.0,SL,2022Q4,2022,10,2022-11-25 04:00:00,2022Q4
