config_id,family,description,evaluation_start,evaluation_end,total_trades,min_trades_q,median_trades_q,max_trades_q,max_q_share,max_median,gini,net_pnl,gross_profit,gross_loss,pf,expectancy,win_rate_pct,long_trades,long_pf,long_expectancy,short_trades,short_pf,short_expectancy,top1_positive_q_share,top3_positive_q_share,top5_positive_q_share,top10_positive_q_share,profit_pool_applicable,rolling4_positive_pct,rolling4_pf120_pct,gate_A1,gate_A2,gate_A3,gate_A4,gate_B1,gate_B2,gate_D1,gate_D2,gate_E1,gate_E2,all_gates_pass,primary_failure_reason,final_status
H-211-C3,FBRLT,"Failed Breakout Trap (Donchian 40, SL1.5, TP3.0)",2018Q2,2026Q2,4025,98,123.0,145,3.602484472049689,1.1788617886178863,0.05200828157349897,-32033.653571428527,180406.71428571426,212440.36785714282,0.8492110802925655,-7.958671694764852,30.484472049689444,1827,0.9416785966127199,-3.1714403002580265,2198,0.7679785390662496,-11.93786721695046,48.19391100439206,86.29652643831966,100.0,100.0,True,0.0,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.849 < 1.25),REJECTED
H-211-C4,FBRLT,"Failed Breakout Trap (Donchian 40, SL1.5, TP3.75)",2018Q2,2026Q2,3672,89,112.0,133,3.622004357298475,1.1875,0.05535749653396712,-27516.02142857142,179118.4821428571,206634.50357142853,0.8668372369909665,-7.49346988795518,26.47058823529412,1649,0.9420997441947732,-3.3872346876895247,2023,0.8009325211608392,-10.84056916884399,36.40805776910606,78.44887994085997,93.77642865996364,100.00000000000003,True,10.0,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.867 < 1.25),REJECTED
H-212-C1,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA50, SL1.5, TP3.0)",2018Q2,2026Q2,4092,73,131.0,152,3.714565004887586,1.1603053435114503,0.08240765425516158,-6882.667857142704,161067.7071428572,167950.3749999999,0.9590196338820755,-1.6819813922636129,31.378299120234605,2137,0.920688087446502,-3.1227538605521477,1955,0.9975021766892108,-0.10708074534156863,29.15070636189516,72.85342157721401,94.34945325929903,100.0,True,26.666666666666668,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.959 < 1.25),REJECTED
H-212-C2,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA50, SL1.5, TP3.75)",2018Q2,2026Q2,3637,69,113.0,131,3.6018696728072586,1.1592920353982301,0.07761974987710483,-9633.096428571298,152427.6214285715,162060.7178571428,0.9405587204848561,-2.648638006206021,27.00027495188342,1893,0.9223081786999383,-3.3047175684853567,1744,0.9585812901220906,-1.9365057749016703,26.778721859686232,63.82447740824706,89.09848084143191,99.99999999999997,True,23.333333333333332,3.3333333333333335,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.941 < 1.25),REJECTED
H-212-C3,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA100, SL1.5, TP3.0)",2018Q2,2026Q2,3725,69,116.0,139,3.7315436241610738,1.1982758620689655,0.08806996135855197,-2815.1785714284597,150085.44285714292,152900.62142857138,0.9815881809692736,-0.7557526366250898,31.758389261744966,1961,0.9640603554973336,-1.3985229839003237,1764,0.9990511415095454,-0.04119897959179198,26.901911920166683,69.25110708278697,86.24768865816841,100.0,True,36.666666666666664,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.982 < 1.25),REJECTED
H-212-C4,SORE,"Session Expansion (Asian 00-07, Lon 08-16 + EMA100, SL1.5, TP3.75)",2018Q2,2026Q2,3339,66,104.0,124,3.7136867325546574,1.1923076923076923,0.08271393177053553,-2567.92857142845,144504.94285714292,147072.87142857135,0.982539753616794,-0.7690711504727314,27.553159628631324,1748,0.9817765042951849,-0.7593545684864011,1591,0.9832886284264523,-0.779746565502337,29.394753604234896,62.95562570664865,82.31158526418888,99.24116656332829,True,30.0,3.3333333333333335,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.983 < 1.25),REJECTED
H-213-C1,MRLM,"Range Loc Momentum (Channel 50, Th 0.75/0.25, SL1.5, TP3.0)",2018Q2,2026Q2,5388,136,166.0,189,3.5077951002227175,1.1385542168674698,0.04519583361454185,7599.853571428519,278588.19285714277,270988.3392857143,1.028044946847014,1.4105147682680992,32.9992576095026,2950,1.0975572269225216,4.529251815980632,2438,0.9570137520830577,-2.3631826438533,42.627387757261396,64.29563157228488,77.44453629218636,95.54098273102822,True,33.33333333333333,0.0,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.028 < 1.25),REJECTED
H-213-C2,MRLM,"Range Loc Momentum (Channel 50, Th 0.75/0.25, SL1.5, TP3.75)",2018Q2,2026Q2,4656,107,143.0,176,3.7800687285223367,1.2307692307692308,0.05185879412683536,9261.989285714337,261797.37857142856,252535.38928571425,1.0366760053389406,1.9892588672066875,28.71563573883161,2525,1.156107007513937,7.684467468175401,2131,0.9209198381803453,-4.758935275189375,38.85901357484997,67.49022722737811,81.13101390299468,98.6466680709665,True,46.666666666666664,3.3333333333333335,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.037 < 1.25),REJECTED
H-213-C3,MRLM,"Range Loc Momentum (Channel 100, Th 0.80/0.20, SL1.5, TP3.0)",2018Q2,2026Q2,4204,100,127.0,163,3.8772597526165553,1.2834645669291338,0.05962575325087219,12346.50714285703,221242.1499999999,208895.6428571429,1.0591037083109502,2.9368475601467723,33.68220742150333,2424,1.1507527334006658,6.8826541136256125,1780,0.9558468373303365,-2.4365429373996914,45.623278935346676,72.24048449890516,85.79253456875698,97.80758215017552,True,46.666666666666664,3.3333333333333335,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.059 < 1.25),REJECTED
H-213-C4,MRLM,"Range Loc Momentum (Channel 100, Th 0.80/0.20, SL1.5, TP3.75)",2018Q2,2026Q2,3584,87,108.0,128,3.571428571428571,1.1851851851851851,0.053064123376623376,12050.524999999949,206341.10714285707,194290.5821428571,1.0620232070288385,3.3623116629464143,29.408482142857146,2066,1.1797808526526263,8.770311851749362,1518,0.9350944640675373,-3.9979837191793384,34.03841167512439,54.36784950021124,68.92038013528361,88.02125529761369,True,60.0,3.3333333333333335,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.062 < 1.25),REJECTED
H-214-C1,VRA,"Vol Acceleration (ATR7/28 > 1.20 + 3b Breakout + EMA50, SL1.5, TP3.0)",2018Q2,2026Q2,3616,80,114.0,126,3.484513274336283,1.105263157894737,0.053851568785197104,-11671.192857142745,171841.36428571434,183512.5571428571,0.9364011213245902,-3.227652891908945,32.35619469026549,1879,1.0218968082504658,1.0163080666008133,1737,0.8589759279928466,-7.818558269594515,42.60185883479584,69.48001110609981,89.86443234433749,100.0,True,16.666666666666664,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.936 < 1.25),REJECTED
H-214-C2,VRA,"Vol Acceleration (ATR7/28 > 1.20 + 3b Breakout + EMA50, SL1.5, TP3.75)",2018Q2,2026Q2,3263,74,100.0,112,3.432424149555623,1.12,0.05237790098347867,-8256.67678571418,169346.51250000007,177603.18928571427,0.9535105376264865,-2.530394356639344,28.256205945448976,1703,1.0369819669825846,1.8602623521517108,1560,0.8757361725421794,-7.323527930402912,26.098327604074218,55.78073240381536,76.03951177642898,96.72537980408379,True,26.666666666666668,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.954 < 1.25),REJECTED
H-214-C3,VRA,"Vol Acceleration (ATR7/28 > 1.30 + 3b Breakout + EMA50, SL1.5, TP3.0)",2018Q2,2026Q2,2805,50,89.0,106,3.7789661319073082,1.1910112359550562,0.08793820558526441,-554.0714285714357,138417.83571428573,138971.90714285715,0.9960130688283506,-0.19752992105933537,32.97682709447415,1448,1.0659436078906213,3.0142363851617913,1357,0.9324215591611164,-3.6246762817138634,17.58549044051608,43.67407982374612,65.68190460509493,93.90290371520277,True,36.666666666666664,0.0,True,True,True,True,False,False,False,False,False,False,False,Gate E1 (PF = 0.996 < 1.25),REJECTED
H-214-C4,VRA,"Vol Acceleration (ATR7/28 > 1.30 + 3b Breakout + EMA50, SL1.5, TP3.75)",2018Q2,2026Q2,2548,46,79.0,94,3.6891679748822606,1.1898734177215189,0.08498644212929926,3067.9339285713727,137764.69107142853,134696.75714285718,1.0227765982912087,1.2040557019510882,29.277864992150704,1326,1.1351913685550665,6.575211430726099,1222,0.9195100449973104,-4.624219663315412,22.120171368234686,44.795295602119864,62.12865293003129,88.62487463158885,True,50.0,3.3333333333333335,True,True,True,True,False,False,False,False,False,True,False,Gate E1 (PF = 1.023 < 1.25),REJECTED
