cohort,quarter,event_count,mean_raw_reversion_atr,mean_excess_reversion_atr,median_excess_reversion_atr,positive_excess_pct,median_cost_hurdle_atr,worst5pct_mean_excess_atr,positive_mean_excess
H226-C1,2025Q1,24,0.4117534000134666,0.34192779011610447,-0.19848998935055617,50.0,0.07134767550887311,-5.408440163873507,True
H226-C1,2025Q2,39,0.1411693643239808,0.09928776239935508,0.2240097331977534,51.28205128205128,0.04134813941948982,-7.406014626549073,True
H226-C1,2025Q3,30,0.6923566990898052,0.6310863502174364,0.970516931834221,63.33333333333333,0.06126439960901585,-4.842285549008379,True
H226-C1,2025Q4,34,-0.1975873052275487,-0.22655685014263566,-0.014460031806564473,50.0,0.02782458928483942,-7.074721396146181,False
H226-C1,2026Q1,34,0.09432154877722682,0.07667957810158496,-0.2896453863860061,47.05882352941176,0.017643445089379595,-4.8894591759919654,True
H226-C1,2026Q2,32,0.9497987746905208,0.9247614663570776,0.7025614550615841,59.375,0.024581497808644687,-3.7464785853542626,True
H226-C2,2018Q2,21,0.3317963756930594,0.12350101589191775,0.07143018360168227,57.14285714285714,0.20471490065111542,-4.349107888842964,True
H226-C2,2018Q3,30,-0.206893881440458,-0.41629710081983706,-0.371317969196285,40.0,0.19347181975970085,-4.739403960110943,False
H226-C2,2018Q4,30,-0.09887450872674784,-0.31560280625759957,-0.19542137816782865,46.666666666666664,0.20661897682986535,-3.8427848675181906,False
H226-C2,2019Q1,24,0.0831645556114865,-0.14204193982065993,0.30171085845778,54.166666666666664,0.23009813420367237,-5.21496565640007,False
H226-C2,2019Q2,21,0.31073045026242385,0.09838134685684,-0.08277618641219445,47.61904761904761,0.20960095124705766,-3.159235575597827,True
H226-C2,2019Q3,25,0.47401418671039935,0.35585626311617136,0.5718333535549837,60.0,0.10700302120436253,-3.622248109557776,True
H226-C2,2019Q4,17,-0.2685058670202433,-0.42637171321110123,-0.4511971904091378,47.05882352941176,0.1717513951011189,-4.554260431178117,False
H226-C2,2020Q1,29,0.36045027933453033,0.23767149989586697,0.07133944762041565,51.724137931034484,0.12716294530729214,-4.063626868659888,True
H226-C2,2020Q2,19,0.1951511570254285,0.12422554030275162,-0.10068536206461699,47.368421052631575,0.0631751291385765,-1.8241214988108394,True
H226-C2,2020Q3,22,0.08690869318616361,0.001490936296281104,0.29743470955972323,59.09090909090909,0.07330812149172522,-5.706080968041016,True
