datetime,year,direction,entry_price,exit_price,sl_price,tp_price,lot,net_pnl_usd,balance_after
2019-08-13 14:00:00,2019,BUY,1532.275,1525.491785714286,1525.5417857142859,1549.5635714285715,0.04,-28.612857142856665,979.5960714285756
2019-08-29 10:00:00,2019,BUY,1549.315,1544.2139285714286,1544.2639285714286,1562.1178571428572,0.05,-27.355357142857294,952.2407142857182
2019-09-25 17:00:00,2019,BUY,1527.225,1522.0317857142857,1522.0817857142856,1540.2735714285714,0.05,-27.81607142857124,924.424642857147
2019-09-27 19:00:00,2019,SELL,1497.535,1502.3028571428572,1502.2528571428572,1485.6207142857145,0.05,-25.689285714285553,898.7353571428614
2019-10-17 03:00:00,2019,SELL,1487.415,1492.4249999999997,1492.3749999999998,1474.8550000000002,0.05,-26.89999999999882,871.8353571428626
2019-10-23 03:00:00,2019,SELL,1484.735,1489.3817857142856,1489.3317857142856,1473.1435714285712,0.05,-25.083928571428352,846.7514285714342
2019-11-01 14:00:00,2019,BUY,1508.345,1504.2435714285714,1504.2935714285713,1518.482142857143,0.05,-22.35714285714321,824.394285714291
2019-11-18 15:00:00,2019,SELL,1459.765,1463.0714285714287,1463.0214285714287,1451.7478571428571,0.06,-22.058571428571412,802.3357142857195
2019-11-29 16:00:00,2019,SELL,1453.275,1455.8367857142857,1455.7867857142858,1447.2435714285714,0.08,-23.45428571428507,778.8814285714344
2019-12-06 15:00:00,2019,BUY,1474.325,1470.1775,1470.2275,1484.5850000000003,0.05,-22.587500000000183,756.2939285714342
2019-12-17 15:00:00,2019,BUY,1480.145,1477.595,1477.645,1486.145,0.08,-23.359999999999637,732.9339285714345
2019-12-20 04:00:00,2019,BUY,1481.105,1477.892857142857,1477.942857142857,1488.8707142857143,0.06,-21.492857142857446,711.4410714285771
2019-12-23 15:00:00,2019,BUY,1483.475,1480.925,1480.975,1489.475,0.07,-20.439999999999685,691.0010714285773
2019-12-31 15:00:00,2019,BUY,1523.365,1520.2814285714287,1520.3314285714287,1530.787857142857,0.06,-20.721428571427822,670.2796428571495
2020-01-03 20:00:00,2020,BUY,1538.375,1552.5807142857143,1532.797857142857,1552.5807142857143,0.04,55.34285714285718,1055.3428571428572
2020-02-18 02:00:00,2020,BUY,1574.055,1586.0807142857143,1569.2953571428573,1586.0807142857143,0.06,69.93428571428538,1125.2771428571425
2020-02-18 16:00:00,2020,BUY,1586.435,1593.180714285714,1583.6553571428572,1593.180714285714,0.1,63.757142857140295,1189.0342857142828
2020-02-21 08:00:00,2020,BUY,1617.555,1630.0149999999999,1612.6325000000002,1630.0149999999999,0.06,72.53999999999886,1261.5742857142816
2020-03-05 20:00:00,2020,BUY,1652.455,1668.2835714285713,1646.2692857142856,1668.2835714285713,0.05,77.29285714285712,1338.8671428571388
2020-03-31 12:00:00,2020,BUY,1618.865,1605.7903571428571,1605.840357142857,1652.9307142857142,0.03,-40.33392857142859,1298.5332142857103
2020-04-06 21:00:00,2020,BUY,1631.525,1657.6050000000002,1621.4950000000001,1657.6050000000002,0.03,77.13000000000046,1375.6632142857109
2020-04-09 16:00:00,2020,BUY,1658.585,1674.8935714285715,1652.2192857142857,1674.8935714285715,0.05,79.6928571428572,1455.3560714285682
