id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
1031,55653,2022-10-20 13:00:00,55668,2022-10-20 20:30:00,BUY,1635.02,1629.9296428571427,1629.9296428571427,1647.7458928571432,0.1,-51.60357142857329,-509.03571428573287,-1.0,SL,2022Q4,2022,15,2022-10-20 13:00:00,2022Q4,2022
1032,55705,2022-10-21 16:00:00,55710,2022-10-21 18:30:00,BUY,1631.42,1648.4851785714286,1624.5939285714287,1648.4851785714286,0.1,169.95178571428534,1706.5178571428532,2.4644725257652036,TP,2022Q4,2022,5,2022-10-21 16:00:00,2022Q4,2022
1033,55711,2022-10-21 19:00:00,55790,2022-10-25 12:30:00,BUY,1651.06,1640.8117857142856,1640.8117857142856,1676.6805357142857,0.1,-103.18214285714312,-1024.8214285714312,-1.0,SL,2022Q4,2022,79,2022-10-21 19:00:00,2022Q4,2022
1034,55798,2022-10-25 16:30:00,55832,2022-10-26 10:30:00,BUY,1653.19,1668.3025,1647.145,1668.3025,0.1,150.42499999999956,1511.2499999999955,2.459934587080912,TP,2022Q4,2022,34,2022-10-25 16:30:00,2022Q4,2022
1035,55833,2022-10-26 11:00:00,55837,2022-10-26 13:00:00,BUY,1671.12,1666.7024999999999,1666.7024999999999,1682.16375,0.1,-44.875000000000185,-441.7500000000018,-1.0,SL,2022Q4,2022,4,2022-10-26 11:00:00,2022Q4,2022
1036,55846,2022-10-26 17:30:00,55868,2022-10-27 05:30:00,BUY,1668.42,1662.21,1662.21,1683.945,0.1,-62.80000000000037,-621.0000000000036,-1.0,SL,2022Q4,2022,22,2022-10-26 17:30:00,2022Q4,2022
1037,55892,2022-10-27 17:30:00,55896,2022-10-27 19:30:00,BUY,1664.28,1657.8632142857143,1657.8632142857143,1680.3219642857143,0.1,-64.86785714285652,-641.6785714285652,-1.0,SL,2022Q4,2022,4,2022-10-27 17:30:00,2022Q4,2022
1038,56015,2022-11-01 09:00:00,56015,2022-11-01 09:00:00,BUY,1647.32,1643.6460714285713,1643.6460714285713,1656.5048214285714,0.1,-37.43928571428633,-367.39285714286325,-1.0,SL,2022Q4,2022,0,2022-11-01 09:00:00,2022Q4,2022
1039,56021,2022-11-01 12:00:00,56029,2022-11-01 16:00:00,BUY,1650.54,1645.9585714285713,1645.9585714285713,1661.9935714285714,0.1,-46.5142857142866,-458.142857142866,-1.0,SL,2022Q4,2022,8,2022-11-01 12:00:00,2022Q4,2022
1040,56066,2022-11-02 11:30:00,56075,2022-11-02 16:00:00,BUY,1655.51,1651.8885714285714,1651.8885714285714,1664.5635714285715,0.1,-36.91428571428624,-362.14285714286234,-1.0,SL,2022Q4,2022,9,2022-11-02 11:30:00,2022Q4,2022
1041,56084,2022-11-02 20:30:00,56084,2022-11-02 20:30:00,BUY,1664.96,1659.17,1659.17,1679.4350000000002,0.1,-58.59999999999964,-578.9999999999964,-1.0,SL,2022Q4,2022,0,2022-11-02 20:30:00,2022Q4,2022
1042,56149,2022-11-04 07:00:00,56164,2022-11-04 14:30:00,BUY,1646.99,1643.2110714285714,1643.2110714285714,1656.4373214285715,0.1,-38.48928571428651,-377.89285714286507,-1.0,SL_AMBIGUOUS_PESSIMISTIC,2022Q4,2022,15,2022-11-04 07:00:00,2022Q4,2022
1043,56165,2022-11-04 15:00:00,56176,2022-11-04 20:30:00,BUY,1659.68,1677.580892857143,1652.5196428571428,1677.580892857143,0.1,178.30892857142936,1790.0892857142935,2.466115090145684,TP,2022Q4,2022,11,2022-11-04 15:00:00,2022Q4,2022
1044,56252,2022-11-08 13:30:00,56259,2022-11-08 17:00:00,BUY,1672.26,1681.91625,1668.3975,1681.91625,0.1,95.8625,965.625,2.4376986649714203,TP,2022Q4,2022,7,2022-11-08 13:30:00,2022Q4,2022
1045,56260,2022-11-08 17:30:00,56348,2022-11-10 15:30:00,BUY,1706.22,1724.881607142857,1698.755357142857,1724.881607142857,0.1,185.91607142857066,1866.1607142857065,2.4674835284637178,TP,2022Q4,2022,88,2022-11-08 17:30:00,2022Q4,2022
1046,56349,2022-11-10 16:00:00,56351,2022-11-10 17:00:00,BUY,1733.34,1750.5980357142857,1726.4367857142856,1750.5980357142857,0.1,171.88035714285826,1725.8035714285825,2.4648655569782494,TP,2022Q4,2022,2,2022-11-10 16:00:00,2022Q4,2022
1047,56352,2022-11-10 17:30:00,56443,2022-11-14 17:00:00,BUY,1751.01,1772.8162499999999,1742.2875,1772.8162499999999,0.1,217.36249999999865,2180.6249999999864,2.472135342621514,TP,2022Q4,2022,91,2022-11-10 17:30:00,2022Q4,2022
1048,56444,2022-11-14 17:30:00,56486,2022-11-15 15:30:00,BUY,1770.53,1785.037142857143,1764.7271428571428,1785.037142857143,0.1,144.37142857142982,1450.714285714298,2.458282656288008,TP,2022Q4,2022,42,2022-11-14 17:30:00,2022Q4,2022
1049,56497,2022-11-15 21:00:00,56554,2022-11-17 03:30:00,BUY,1778.12,1769.3782142857142,1769.3782142857142,1799.974464285714,0.1,-88.11785714285698,-874.1785714285697,-1.0,SL,2022Q4,2022,57,2022-11-15 21:00:00,2022Q4,2022
1050,56624,2022-11-18 15:30:00,56625,2022-11-18 16:00:00,BUY,1763.68,1758.6282142857142,1758.6282142857142,1776.3094642857145,0.1,-51.217857142858705,-505.178571428587,-1.0,SL,2022Q4,2022,1,2022-11-18 15:30:00,2022Q4,2022
1051,56709,2022-11-22 12:00:00,56716,2022-11-22 15:30:00,BUY,1747.13,1743.6875000000002,1743.6875000000002,1755.7362500000002,0.1,-35.12499999999882,-344.2499999999882,-1.0,SL,2022Q4,2022,7,2022-11-22 12:00:00,2022Q4,2022
1052,56750,2022-11-23 09:30:00,56753,2022-11-23 11:00:00,BUY,1741.31,1737.6564285714285,1737.6564285714285,1750.4439285714284,0.1,-37.23571428571468,-365.35714285714675,-1.0,SL,2022Q4,2022,3,2022-11-23 09:30:00,2022Q4,2022
1053,56765,2022-11-23 17:00:00,56830,2022-11-25 06:00:00,BUY,1742.71,1759.8635714285713,1735.8485714285716,1759.8635714285713,0.1,170.8357142857124,1715.357142857124,2.464653751030535,TP,2022Q4,2022,65,2022-11-23 17:00:00,2022Q4,2022
1054,56880,2022-11-28 11:00:00,56887,2022-11-28 14:30:00,BUY,1759.45,1755.5060714285714,1755.5060714285714,1769.3098214285715,0.1,-40.139285714286146,-394.39285714286143,-1.0,SL,2022Q4,2022,7,2022-11-28 11:00:00,2022Q4,2022
1055,56926,2022-11-29 11:00:00,56927,2022-11-29 11:30:00,BUY,1757.51,1753.2757142857142,1753.2757142857142,1768.0957142857142,0.1,-43.04285714285761,-423.4285714285761,-1.0,SL,2022Q4,2022,1,2022-11-29 11:00:00,2022Q4,2022
1056,56939,2022-11-29 17:30:00,56940,2022-11-29 18:00:00,BUY,1757.05,1751.2867857142858,1751.2867857142858,1771.4580357142856,0.1,-58.33214285714185,-576.3214285714184,-1.0,SL,2022Q4,2022,1,2022-11-29 17:30:00,2022Q4,2022
1057,56972,2022-11-30 11:00:00,56981,2022-11-30 15:30:00,BUY,1759.66,1756.6085714285714,1756.6085714285714,1767.2885714285717,0.1,-31.21428571428687,-305.1428571428687,-1.0,SL,2022Q4,2022,9,2022-11-30 11:00:00,2022Q4,2022
1058,56992,2022-11-30 21:00:00,57011,2022-12-01 07:30:00,BUY,1760.56,1781.752857142857,1752.0828571428572,1781.752857142857,0.1,211.22857142857066,2119.2857142857065,2.471335450442935,TP,2022Q4,2022,19,2022-11-30 21:00:00,2022Q4,2022
1059,57029,2022-12-01 16:30:00,57073,2022-12-02 15:30:00,BUY,1799.55,1793.6764285714285,1793.6764285714285,1814.2339285714286,0.1,-59.43571428571495,-587.3571428571495,-1.0,SL,2022Q4,2022,44,2022-12-01 16:30:00,2022Q4,2022
