Trigger Architecture,Events,Horizon,Mean Trade Return (%),Win Rate (%),Mean MFE (%),Mean MAE (%),MFE/MAE Ratio
5. Squeeze + Upper Break + Macro Trend + ER >= 0.20,68,72h,0.0019340053443272335,47.05882352941176,1.6248616934817717,1.49193749751789,1.0890950165037243
6. Pure BB Lower Break (No Squeeze),2052,6h,-0.011753969377668809,48.19688109161793,0.4964370290788338,0.4699325725196987,1.056400552140965
6. Pure BB Lower Break (No Squeeze),2052,12h,-0.034076818040186176,47.904483430799225,0.658404182938851,0.6222094129428716,1.0581713636005416
6. Pure BB Lower Break (No Squeeze),2052,24h,-0.0786045332280719,47.46588693957115,0.8928222834333872,0.8966118467624723,0.9957734627946657
6. Pure BB Lower Break (No Squeeze),2052,48h,-0.18733404783739388,46.588693957115005,1.2051009308760727,1.314830192137907,0.9165449181818565
6. Pure BB Lower Break (No Squeeze),2052,72h,-0.2284464169552437,47.07602339181287,1.4377244720048468,1.6338036701906713,0.8799860706868523
7. Squeeze + Lower Break (Squeeze Expansion Short),134,6h,0.032425660102998626,55.223880597014926,0.47460513703264506,0.3945004943775712,1.2030533390875977
7. Squeeze + Lower Break (Squeeze Expansion Short),134,12h,0.11355884034240502,59.70149253731343,0.6987230006202919,0.5411682016117613,1.2911383162190335
7. Squeeze + Lower Break (Squeeze Expansion Short),134,24h,0.11564772068406229,53.73134328358209,0.9706790051324924,0.7832572427622176,1.239285067712004
7. Squeeze + Lower Break (Squeeze Expansion Short),134,48h,0.1991862825563045,54.47761194029851,1.3429288545038431,1.0443854988408845,1.2858555159893528
7. Squeeze + Lower Break (Squeeze Expansion Short),134,72h,0.26700719909222115,55.223880597014926,1.6882671189293919,1.277209663053525,1.3218402332574901
8. Squeeze + Lower Break + Macro Trend Bearish,80,6h,0.03917759914890735,62.5,0.49261603005455445,0.42835597808636183,1.1500155367394849
8. Squeeze + Lower Break + Macro Trend Bearish,80,12h,0.14927021076237074,63.74999999999999,0.7507440156189287,0.5838400264682543,1.2858728103318036
8. Squeeze + Lower Break + Macro Trend Bearish,80,24h,0.18746289975376462,58.75,1.0414765814346167,0.8318435778219374,1.2520101245014996
8. Squeeze + Lower Break + Macro Trend Bearish,80,48h,0.402321404888338,55.00000000000001,1.457634448298029,1.0396133293656489,1.4020928811940572
8. Squeeze + Lower Break + Macro Trend Bearish,80,72h,0.4981573326890539,61.25000000000001,1.8992335780531946,1.2179980381386355,1.5593075839068136
9. Squeeze + Lower Break + Macro Trend + ER >= 0.20,76,6h,0.03649381650922195,61.8421052631579,0.49531172767632997,0.4458153141315413,1.1110244802631082
9. Squeeze + Lower Break + Macro Trend + ER >= 0.20,76,12h,0.1405446462535841,61.8421052631579,0.7600511403758443,0.605344776739309,1.2555673553009932
9. Squeeze + Lower Break + Macro Trend + ER >= 0.20,76,24h,0.19600388834621382,59.210526315789465,1.056152618263952,0.8625034124609202,1.2245199300145446
