cohort,view,event_count,mean_signed_reversion_atr,median_signed_reversion_atr,positive_return_pct,p10_signed_reversion_atr,p90_signed_reversion_atr,worst5pct_mean_signed_reversion_atr,gap_closure_pct,median_cost_hurdle_atr,mean_to_median_cost_hurdle_ratio,quarter,positive_mean
H226-C1,QUARTER_2021Q2,28,0.09636711159618343,-0.36809861274868927,39.285714285714285,-1.87032928427082,3.2255169479807,-3.755450974815329,85.71428571428571,0.12024759922746131,0.801405701363689,2021Q2,True
H226-C1,QUARTER_2021Q3,31,-0.041692342971001675,-0.0564668112516896,48.38709677419355,-2.54312609804684,2.4231221417243973,-3.5374692400139294,87.09677419354838,0.1203644676234591,-0.34638414304651327,2021Q3,False
H226-C1,QUARTER_2021Q4,27,0.540545517961214,0.4210296459906369,62.96296296296296,-1.6759578011852814,2.932642226588402,-2.670851605646353,88.88888888888889,0.12493107619085084,4.3267498723492155,2021Q4,True
H226-C1,QUARTER_2022Q1,30,0.4172703266314045,0.3884978449110867,63.33333333333333,-1.5363286277149228,2.80152467044427,-6.660222390636906,73.33333333333333,0.09810101049625528,4.253476335468864,2022Q1,True
H226-C1,QUARTER_2022Q2,24,0.1535924367152669,-0.046132891770517895,45.83333333333333,-1.1557582606532102,1.4967210831244717,-2.4254501442135687,83.33333333333334,0.09339050735825975,1.6446257875660069,2022Q2,True
H226-C1,QUARTER_2022Q3,31,-0.4012653572828352,-0.2082589814250113,38.70967741935484,-2.3184679911001687,1.4563851816670887,-4.285876363065473,80.64516129032258,0.10700739379583037,-3.7498844056369385,2022Q3,False
H226-C1,QUARTER_2022Q4,29,0.32417447034735347,0.2152600862090662,51.724137931034484,-1.943601947905833,2.3388167598910936,-2.3033959353268556,79.3103448275862,0.09967748907687139,3.2522335117947216,2022Q4,True
H226-C1,QUARTER_2023Q1,27,0.08013806454370245,0.2365176463060604,55.55555555555556,-2.5283005092027606,2.289120207498101,-4.902733744781283,85.18518518518519,0.09475862276702923,0.8457073583765305,2023Q1,True
H226-C1,QUARTER_2023Q2,21,0.4631097691314078,0.6253643062703761,61.904761904761905,-2.2151321784430986,3.0474883367678007,-3.1397362471899806,85.71428571428571,0.09886224506301351,4.684394622398345,2023Q2,True
H226-C1,QUARTER_2023Q3,15,0.2763894840773622,0.1965387451249488,60.0,-1.5855602803840005,2.2864864015667474,-2.47686823085901,86.66666666666667,0.14151226191779254,1.9531133227021888,2023Q3,True
H226-C1,QUARTER_2023Q4,28,0.16793558310291276,-0.5943195561448771,39.285714285714285,-2.2822650423453914,1.7194435103603993,-2.7844624394936917,75.0,0.1125174992953544,1.4925285769290684,2023Q4,True
H226-C1,QUARTER_2024Q1,20,-0.16936739090761782,-8.448790894205471e-05,50.0,-2.11386449013382,1.5419064988250049,-3.418987001453178,85.0,0.10013914324782203,-1.69132055073081,2024Q1,False
H226-C1,QUARTER_2024Q2,21,-0.42374334407728265,-0.2347860748996844,47.61904761904761,-3.142499263925015,2.197880582506902,-3.6125846810068634,57.14285714285714,0.06812438102919005,-6.220142299652108,2024Q2,False
H226-C1,QUARTER_2024Q3,24,0.454662153421239,0.7275923879973709,66.66666666666666,-1.5625507264952985,2.4389194255606506,-3.3160688586263496,87.5,0.0706880608659206,6.43195113646746,2024Q3,True
H226-C1,QUARTER_2024Q4,24,-0.4070433749901658,-0.888053548063791,41.66666666666667,-3.1609772170174817,2.951302678297531,-5.192283940866693,70.83333333333334,0.0733948866622708,-5.545936420110443,2024Q4,False
H226-C1,QUARTER_2025Q1,24,0.4117534000134666,-0.12090499866417685,50.0,-2.9138679305256496,4.565553095803845,-5.338878220821044,83.33333333333334,0.07134767550887311,5.771083599805002,2025Q1,True
H226-C1,QUARTER_2025Q2,39,0.1411693643239808,0.2438116985633004,51.28205128205128,-4.618282049190163,4.469244982865209,-7.360700911091354,69.23076923076923,0.04134813941948982,3.4141648525408463,2025Q2,True
H226-C1,QUARTER_2025Q3,30,0.6923566990898052,1.0393611728594352,63.33333333333333,-3.19403429195332,3.973137208849312,-4.765060570029647,83.33333333333334,0.06126439960901585,11.301125996636976,2025Q3,True
H226-C1,QUARTER_2025Q4,34,-0.1975873052275487,0.011484715900854498,50.0,-2.80423438480571,2.675549313882215,-7.030702353581439,79.41176470588235,0.02782458928483942,-7.1011759851997756,2025Q4,False
H226-C1,QUARTER_2026Q1,34,0.09432154877722682,-0.26996369011756016,47.05882352941176,-3.449815504067867,3.565862500753936,-4.86503903034019,50.0,0.017643445089379595,5.34598250508362,2026Q1,True
H226-C1,QUARTER_2026Q2,32,0.9497987746905208,0.7321448569295587,59.375,-1.9901518993810758,5.166199128819064,-3.7288321070579933,68.75,0.024581497808644687,38.638767339738784,2026Q2,True
