config_id,family,v38_pf,v38_expectancy_usd,v38_rolling8_positive_pct,v38_profitable_full_year_pct,negative_quarter_count,negative_quarter_loss_pool_abs_usd,worst1_negative_q_loss_share_pct,worst3_negative_q_loss_share_pct,worst5_negative_q_loss_share_pct,negative_complete_year_count,negative_complete_year_loss_pool_abs_usd,worst1_negative_year_loss_share_pct,worst3_negative_year_loss_share_pct,losing_trade_count,median_losing_trade_abs_usd,mean_losing_trade_abs_usd,p95_losing_trade_abs_usd,p99_losing_trade_abs_usd,loss_cvar95_abs_usd,worst1pct_losing_trade_loss_share_pct,worst5pct_losing_trade_loss_share_pct,largest_single_trade_loss_abs_usd,largest_loss_to_median_loss_ratio,v38_final_status_frozen
H224-C3,H224_OSR,0.8200775486326688,-8.610923796529162,3.8461538461538463,0.0,24,18416.56538020363,35.99323055777532,53.420387155732506,63.630275398118165,7,9300.690180200687,43.89279689152956,77.03330002955924,1249,49.36034612374051,69.12553111989257,192.69692335765478,362.3525592927418,308.477165988519,8.636134392936555,22.509334353428727,1370.5425966822745,27.76606536037019,REJECTED
H224-C4,H224_OSR,0.7740624653348092,-11.196435766717164,15.384615384615383,0.0,22,18377.672539467476,41.64862170021884,56.643617265603865,65.30847764545783,7,6764.316421480938,36.07665297172065,80.00348194888443,956,48.49068696636046,71.2229975434517,204.01844578276783,375.0117434530303,331.8817292926125,8.998271510139254,23.39626014558619,1370.5425966822745,28.264037538446583,REJECTED
H225-C1,H225_EDR,0.8738503218100965,-6.74188500421749,0.0,0.0,25,37378.013115751484,28.927061577479684,46.549236046849515,60.00691015703544,7,22901.399131467973,37.78430474556894,71.37419739342587,3178,54.50103848827503,76.90286188663721,213.80092810379472,382.97220790374706,350.96144778509284,8.613808554857044,22.832850985743413,1471.697822482805,27.003115230536675,REJECTED
H225-C2,H225_EDR,0.8788871520830595,-6.610386911624881,0.0,0.0,26,32146.242344685095,22.449682639375744,47.982088887147015,62.11838778955365,7,19746.478533875244,35.0607284026126,73.37105600192785,2564,55.08071373069079,78.23047837356897,213.44773416477358,395.35456013607387,358.1023228147388,9.068224333130663,23.03047215014614,1471.697822482805,26.718931596973476,REJECTED
H225-C3,H225_EDR,0.8944749002445297,-5.609300572160718,0.0,0.0,27,35377.431047854305,14.412096236466269,34.29038808433052,46.48478818645441,7,26136.945312536256,33.27642956039811,72.61014459570316,3510,53.787789970428506,76.16009198498674,213.62464971750947,368.9294545336323,342.8459840752613,8.465550448667262,22.5723698789937,1471.697822482805,27.36118779544421,REJECTED
H225-C4,H225_EDR,0.8746278862694405,-6.775757948277183,0.0,0.0,26,33975.225895482974,9.635003566298595,27.651773350773585,40.55994131972971,7,27728.90423080908,34.20724448962602,74.95276767790962,3070,54.55358266782533,77.03638112181123,213.62464971750947,366.2716697479557,344.7709761991652,8.422097054076735,22.450042671915913,1471.697822482805,26.97710673639743,REJECTED
H226-C1,H226_DRGR,0.9367641645154344,-2.7711752705749224,80.76923076923077,85.71428571428571,18,8588.336040758757,35.924550752105056,68.65790273552138,81.32892704226263,1,1355.8455658022488,100.0,100.0,600,41.56925896824028,66.24555921367624,212.2811727717809,332.90682896287154,334.39123267044175,9.544018524311241,25.238765936887695,1112.938571983562,26.77311550908013,REJECTED
H226-C2,H226_DRGR,0.9458846313554709,-2.365965974687037,80.76923076923077,57.14285714285714,15,7036.483926150798,42.35371567554248,65.27421154098501,79.80796210129319,3,361.13519645369433,79.68927463298222,100.0,458,40.88517671946484,65.96300662336246,212.49556253557523,336.0990229851285,351.1695381065167,11.223269071308122,26.734911550740144,1112.938571983562,27.22107769326843,REJECTED
H226-C3,H226_DRGR,0.9434003894699527,-2.4945897700492137,73.07692307692307,71.42857142857143,16,8055.832234562127,32.536560056826744,65.78724454244644,79.23904250898913,2,869.3150008160832,87.72642907016332,100.0,559,41.62782195429891,66.62398340821164,212.37994689946868,336.02301836555057,341.69666190946634,10.185840969838221,25.689542155247345,1112.938571983562,26.735450468809088,REJECTED
H226-C4,H226_DRGR,0.9543717408013432,-2.0099866883674,80.76923076923077,85.71428571428571,14,6544.934089549092,38.44166976419925,64.76223772262023,76.54182403676319,1,274.3732217895047,100.0,100.0,420,40.88517671946484,66.49657068235942,212.28678660792056,338.9871985290751,362.50804427627094,12.140505125239198,27.2576495717274,1112.938571983562,27.22107769326843,REJECTED
