cohort,horizon,quarter,event_count,mean_signed_reversion_atr,positive_mean
H226-C3,4h,2021Q2,25,0.43240664685286295,True
H226-C3,4h,2021Q3,27,-0.13593803877871585,False
H226-C3,4h,2021Q4,26,0.24360325046089384,True
H226-C3,4h,2022Q1,27,0.32120845400856624,True
H226-C3,4h,2022Q2,23,-0.1850269025846239,False
H226-C3,4h,2022Q3,27,-0.25686921171489435,False
H226-C3,4h,2022Q4,26,0.19438013366047294,True
H226-C3,4h,2023Q1,25,0.166420523396868,True
H226-C3,4h,2023Q2,18,0.12766699960774117,True
H226-C3,4h,2023Q3,14,0.03558385863397528,True
H226-C3,4h,2023Q4,27,0.3237756306332699,True
H226-C3,4h,2024Q1,19,0.07442886972632082,True
H226-C3,4h,2024Q2,18,-0.5328242545578084,False
H226-C3,4h,2024Q3,22,0.141742298740162,True
H226-C3,4h,2024Q4,22,-0.7001355231388379,False
H226-C3,4h,2025Q1,24,0.49044065296144623,True
H226-C3,4h,2025Q2,37,0.216161581413085,True
H226-C3,4h,2025Q3,29,0.44105860697938776,True
H226-C3,4h,2025Q4,32,-0.481182370290729,False
H226-C3,4h,2026Q1,32,-0.10729706321910643,False
H226-C3,4h,2026Q2,30,0.3553741500832584,True
H226-C4,2h,2018Q2,20,-0.04084295263230177,False
H226-C4,2h,2018Q3,30,0.15734811232490026,True
H226-C4,2h,2018Q4,28,-0.1080075823760145,False
H226-C4,2h,2019Q1,22,0.006614718726386523,True
H226-C4,2h,2019Q2,21,0.3497082098065928,True
H226-C4,2h,2019Q3,24,0.2738262966982291,True
H226-C4,2h,2019Q4,17,-0.13550565290818417,False
H226-C4,2h,2020Q1,27,-0.13011813437140843,False
H226-C4,2h,2020Q2,17,0.05353676847450707,True
H226-C4,2h,2020Q3,20,0.127564363862307,True
H226-C4,2h,2020Q4,20,-0.18372889946278892,False
H226-C4,2h,2021Q1,13,0.4367747409828784,True
H226-C4,2h,2021Q2,17,0.22336373575998777,True
H226-C4,2h,2021Q3,21,0.04738406886428651,True
H226-C4,2h,2021Q4,20,0.021842939288171326,True
H226-C4,2h,2022Q1,18,0.19413382430907294,True
H226-C4,2h,2022Q2,14,-0.11155783323771555,False
H226-C4,2h,2022Q3,16,0.277316027889017,True
H226-C4,2h,2022Q4,23,-0.12276489022838766,False
H226-C4,2h,2023Q1,18,0.25958790565435197,True
H226-C4,2h,2023Q2,9,-0.15254394117666034,False
H226-C4,2h,2023Q3,11,0.19658094388627,True
H226-C4,2h,2023Q4,22,0.5990777641376893,True
H226-C4,2h,2024Q1,14,0.3535182487527873,True
H226-C4,2h,2024Q2,16,-0.363504290095755,False
H226-C4,2h,2024Q3,14,0.12796763023576124,True
H226-C4,2h,2024Q4,16,-0.4793561562249946,False
H226-C4,2h,2025Q1,13,0.41433502856830756,True
H226-C4,2h,2025Q2,30,-0.3906812441853674,False
H226-C4,2h,2025Q3,19,0.14868954850257526,True
H226-C4,2h,2025Q4,20,-0.42108823916975185,False
H226-C4,2h,2026Q1,21,-0.22910560635537028,False
H226-C4,2h,2026Q2,28,-0.4655854759443243,False
H226-C4,4h,2018Q2,20,0.15379715522090306,True
H226-C4,4h,2018Q3,30,-0.28806314240869385,False
H226-C4,4h,2018Q4,28,-0.1219748802514725,False
