Trade_ID,Entry_Time,Date,Sub_Engine,Type,Entry_Price,Exit_Price,PnL_USD,Balance_USD
49,2023-01-12 15:00:00,2023-01-12,CP95_Donchian10Buy,BUY,1899.44,1894.11,-10.77,1335.18
50,2023-01-12 15:00:00,2023-01-12,CP95_Donchian12Buy,BUY,1899.44,1894.11,-10.68,1324.49
51,2023-01-12 15:00:00,2023-01-12,CP95_Donchian15Buy,BUY,1899.44,1894.11,-10.6,1313.9
52,2023-01-12 15:00:00,2023-01-12,CP95_Donchian20Buy,BUY,1899.44,1893.6,-10.51,1303.39
53,2023-01-12 15:00:00,2023-01-12,CP95_Donchian3Buy,BUY,1899.44,1894.11,-10.43,1292.96
54,2023-01-12 20:00:00,2023-01-12,CP95_PinbarKeltnerBuy,BUY,1898.81,1915.3,22.02,1314.98
55,2023-01-12 20:00:00,2023-01-12,CP95_Donchian3Buy,BUY,1898.81,1914.55,21.38,1336.36
56,2023-01-13 17:00:00,2023-01-13,CP95_PinbarKeltnerBuy,BUY,1913.52,1927.07,22.6,1358.96
57,2023-01-13 17:00:00,2023-01-13,CP95_Donchian5Buy,BUY,1913.52,1926.45,21.94,1380.9
58,2023-01-13 17:00:00,2023-01-13,CP95_Donchian7Buy,BUY,1913.52,1926.57,22.51,1403.41
59,2023-01-13 17:00:00,2023-01-13,CP95_Donchian10Buy,BUY,1913.52,1926.76,23.2,1426.61
60,2023-01-13 17:00:00,2023-01-13,CP95_Donchian12Buy,BUY,1913.52,1926.94,23.91,1450.51
61,2023-01-13 17:00:00,2023-01-13,CP95_Donchian15Buy,BUY,1913.52,1927.07,24.53,1475.05
62,2023-01-13 17:00:00,2023-01-13,CP95_Donchian20Buy,BUY,1913.52,1927.68,23.8,1498.84
63,2023-01-13 17:00:00,2023-01-13,CP95_Donchian3Buy,BUY,1913.52,1926.45,24.2,1523.04
64,2023-03-13 19:00:00,2023-03-13,CP95_PinbarKeltnerBuy,BUY,1909.68,1900.19,-12.18,1510.86
65,2023-03-13 21:00:00,2023-03-13,CP95_PinbarKeltnerBuy,BUY,1913.15,1903.32,-12.09,1498.77
66,2023-03-13 21:00:00,2023-03-13,CP95_Donchian5Buy,BUY,1913.15,1903.32,-11.99,1486.78
67,2023-03-13 21:00:00,2023-03-13,CP95_Donchian7Buy,BUY,1913.15,1903.32,-11.89,1474.89
68,2023-03-13 21:00:00,2023-03-13,CP95_Donchian10Buy,BUY,1913.15,1903.32,-11.8,1463.09
69,2023-03-13 21:00:00,2023-03-13,CP95_Donchian12Buy,BUY,1913.15,1903.32,-11.7,1451.38
70,2023-03-13 21:00:00,2023-03-13,CP95_Donchian15Buy,BUY,1913.15,1903.32,-11.61,1439.77
71,2023-03-13 21:00:00,2023-03-13,CP95_Donchian20Buy,BUY,1913.15,1902.36,-11.52,1428.25
72,2023-03-13 21:00:00,2023-03-13,CP95_Donchian3Buy,BUY,1913.15,1903.32,-11.43,1416.83
73,2023-03-20 08:00:00,2023-03-20,CP95_PinbarKeltnerBuy,BUY,1988.64,2008.67,24.27,1441.1
74,2023-04-03 18:00:00,2023-04-03,CP95_PinbarKeltnerBuy,BUY,1987.8,1981.24,-11.53,1429.57
75,2023-04-04 19:00:00,2023-04-04,CP95_PinbarKeltnerBuy,BUY,2020.6,2013.69,-11.44,1418.13
76,2023-05-03 23:00:00,2023-05-03,CP95_Donchian20Buy,BUY,2045.0,2062.29,23.03,1441.16
77,2023-07-12 17:00:00,2023-07-12,CP95_PinbarKeltnerBuy,BUY,1957.55,1952.26,-11.53,1429.63
78,2023-07-12 17:00:00,2023-07-12,CP95_Donchian5Buy,BUY,1957.55,1952.26,-11.44,1418.19
79,2023-07-12 17:00:00,2023-07-12,CP95_Donchian7Buy,BUY,1957.55,1952.26,-11.35,1406.84
80,2023-07-12 17:00:00,2023-07-12,CP95_Donchian10Buy,BUY,1957.55,1952.26,-11.25,1395.59
81,2023-07-12 17:00:00,2023-07-12,CP95_Donchian12Buy,BUY,1957.55,1952.26,-11.16,1384.42
82,2023-07-12 17:00:00,2023-07-12,CP95_Donchian15Buy,BUY,1957.55,1952.26,-11.08,1373.35
83,2023-07-12 17:00:00,2023-07-12,CP95_Donchian20Buy,BUY,1957.55,1951.76,-10.99,1362.36
84,2023-07-12 17:00:00,2023-07-12,CP95_Donchian3Buy,BUY,1957.55,1952.26,-10.9,1351.46
85,2023-07-13 05:00:00,2023-07-13,CP95_Donchian20Buy,BUY,1959.94,1954.31,-10.81,1340.65
86,2023-07-18 16:00:00,2023-07-18,CP95_PinbarKeltnerBuy,BUY,1971.12,1980.65,22.31,1362.96
87,2023-10-13 18:00:00,2023-10-13,CP95_PinbarKeltnerBuy,BUY,1922.89,1916.08,-10.9,1352.06
88,2023-10-13 18:00:00,2023-10-13,CP95_Donchian5Buy,BUY,1922.89,1916.08,-10.82,1341.24
89,2023-10-13 18:00:00,2023-10-13,CP95_Donchian7Buy,BUY,1922.89,1916.08,-10.73,1330.51
90,2023-10-13 18:00:00,2023-10-13,CP95_Donchian10Buy,BUY,1922.89,1916.08,-10.64,1319.87
91,2023-10-13 18:00:00,2023-10-13,CP95_Donchian12Buy,BUY,1922.89,1916.08,-10.56,1309.31
92,2023-10-13 18:00:00,2023-10-13,CP95_Donchian15Buy,BUY,1922.89,1916.08,-10.47,1298.83
93,2023-10-13 18:00:00,2023-10-13,CP95_Donchian20Buy,BUY,1922.89,1915.42,-10.39,1288.44
94,2023-10-13 18:00:00,2023-10-13,CP95_Donchian3Buy,BUY,1922.89,1916.08,-10.31,1278.13
95,2023-10-18 14:00:00,2023-10-18,CP95_PinbarKeltnerBuy,BUY,1946.06,1955.73,21.28,1299.42
96,2023-10-18 14:00:00,2023-10-18,CP95_Donchian5Buy,BUY,1946.06,1955.29,20.66,1320.07
97,2023-10-18 14:00:00,2023-10-18,CP95_Donchian7Buy,BUY,1946.06,1955.38,21.18,1341.26
98,2023-10-18 14:00:00,2023-10-18,CP95_Donchian10Buy,BUY,1946.06,1955.51,21.83,1363.09
99,2023-10-18 14:00:00,2023-10-18,CP95_Donchian12Buy,BUY,1946.06,1955.64,22.49,1385.58
100,2023-10-18 14:00:00,2023-10-18,CP95_Donchian15Buy,BUY,1946.06,1955.73,23.07,1408.65
101,2023-10-18 14:00:00,2023-10-18,CP95_Donchian20Buy,BUY,1946.06,1956.17,22.4,1431.06
102,2023-10-18 14:00:00,2023-10-18,CP95_Donchian3Buy,BUY,1946.06,1955.29,22.75,1453.8
103,2023-10-19 21:00:00,2023-10-19,CP95_PinbarKeltnerBuy,BUY,1972.97,1985.63,24.52,1478.33
104,2023-10-19 21:00:00,2023-10-19,CP95_Donchian5Buy,BUY,1972.97,1985.05,23.8,1502.13
105,2023-10-19 21:00:00,2023-10-19,CP95_Donchian7Buy,BUY,1972.97,1985.17,24.42,1526.54
106,2023-10-19 21:00:00,2023-10-19,CP95_Donchian10Buy,BUY,1972.97,1985.34,25.16,1551.71
107,2023-10-19 21:00:00,2023-10-19,CP95_Donchian12Buy,BUY,1972.97,1985.51,25.93,1577.64
108,2023-10-19 21:00:00,2023-10-19,CP95_Donchian15Buy,BUY,1972.97,1985.63,26.61,1604.25
109,2023-10-19 21:00:00,2023-10-19,CP95_Donchian20Buy,BUY,1972.97,1986.2,25.82,1630.07
110,2023-10-19 21:00:00,2023-10-19,CP95_Donchian3Buy,BUY,1972.97,1985.05,26.24,1656.31
111,2023-11-21 04:00:00,2023-11-21,CP95_Donchian20Buy,BUY,1990.6,1985.45,-13.25,1643.06
112,2023-11-28 19:00:00,2023-11-28,CP95_PinbarKeltnerBuy,BUY,2040.56,2050.43,27.39,1670.45
113,2023-11-28 19:00:00,2023-11-28,CP95_Donchian5Buy,BUY,2040.56,2049.98,26.58,1697.04
114,2023-11-28 19:00:00,2023-11-28,CP95_Donchian7Buy,BUY,2040.56,2050.07,27.26,1724.3
115,2023-11-28 19:00:00,2023-11-28,CP95_Donchian10Buy,BUY,2040.56,2050.21,28.09,1752.39
116,2023-11-28 19:00:00,2023-11-28,CP95_Donchian12Buy,BUY,2040.56,2050.34,28.95,1781.34
117,2023-11-28 19:00:00,2023-11-28,CP95_Donchian15Buy,BUY,2040.56,2050.43,29.7,1811.04
118,2023-11-28 19:00:00,2023-11-28,CP95_Donchian20Buy,BUY,2040.56,2050.88,28.83,1839.87
119,2023-11-28 19:00:00,2023-11-28,CP95_Donchian3Buy,BUY,2040.56,2049.98,29.28,1869.15
120,2023-12-22 16:00:00,2023-12-22,CP95_PinbarKeltnerBuy,BUY,2068.3,2063.55,-14.95,1854.2
121,2023-12-27 18:00:00,2023-12-27,CP95_PinbarKeltnerBuy,BUY,2081.54,2076.97,-14.83,1839.36
122,2023-12-28 04:00:00,2023-12-28,CP95_PinbarKeltnerBuy,BUY,2087.82,2082.73,-14.71,1824.65
123,2023-12-28 04:00:00,2023-12-28,CP95_Donchian5Buy,BUY,2087.82,2082.73,-14.6,1810.05
124,2023-12-28 04:00:00,2023-12-28,CP95_Donchian7Buy,BUY,2087.82,2082.73,-14.48,1795.57
125,2023-12-28 04:00:00,2023-12-28,CP95_Donchian10Buy,BUY,2087.82,2082.73,-14.36,1781.2
126,2023-12-28 04:00:00,2023-12-28,CP95_Donchian12Buy,BUY,2087.82,2082.73,-14.25,1766.95
127,2023-12-28 04:00:00,2023-12-28,CP95_Donchian15Buy,BUY,2087.82,2082.73,-14.14,1752.82
128,2023-12-28 04:00:00,2023-12-28,CP95_Donchian20Buy,BUY,2087.82,2082.24,-14.02,1738.8
129,2023-12-28 04:00:00,2023-12-28,CP95_Donchian3Buy,BUY,2087.82,2082.73,-13.91,1724.89
130,2024-02-29 16:00:00,2024-02-29,CP95_PinbarKeltnerBuy,BUY,2047.64,2043.8,-13.8,1711.09
131,2024-02-29 17:00:00,2024-02-29,CP95_PinbarKeltnerBuy,BUY,2048.03,2044.06,-13.69,1697.4
132,2024-03-01 13:00:00,2024-03-01,CP95_PinbarKeltnerBuy,BUY,2055.26,2051.63,-13.58,1683.82
133,2024-03-01 13:00:00,2024-03-01,CP95_Donchian5Buy,BUY,2055.26,2051.63,-13.47,1670.35
134,2024-03-01 13:00:00,2024-03-01,CP95_Donchian7Buy,BUY,2055.26,2051.63,-13.36,1656.99
135,2024-03-01 13:00:00,2024-03-01,CP95_Donchian10Buy,BUY,2055.26,2051.63,-13.26,1643.73
136,2024-03-01 13:00:00,2024-03-01,CP95_Donchian12Buy,BUY,2055.26,2051.63,-13.15,1630.58
137,2024-03-01 13:00:00,2024-03-01,CP95_Donchian15Buy,BUY,2055.26,2051.63,-13.04,1617.54
138,2024-03-01 13:00:00,2024-03-01,CP95_Donchian20Buy,BUY,2055.26,2051.29,-12.94,1604.6
139,2024-03-01 13:00:00,2024-03-01,CP95_Donchian3Buy,BUY,2055.26,2051.63,-12.84,1591.76
140,2024-03-01 20:00:00,2024-03-01,CP95_PinbarKeltnerBuy,BUY,2085.56,2102.25,27.12,1618.88
141,2024-03-08 18:00:00,2024-03-08,CP95_PinbarKeltnerBuy,BUY,2180.55,2173.1,-12.95,1605.93
142,2024-03-20 21:00:00,2024-03-20,CP95_PinbarKeltnerBuy,BUY,2182.78,2196.51,27.18,1633.1
143,2024-03-27 16:00:00,2024-03-27,CP95_PinbarKeltnerBuy,BUY,2193.36,2207.32,27.65,1660.76
144,2024-03-28 17:00:00,2024-03-28,CP95_PinbarKeltnerBuy,BUY,2215.8,2232.19,28.28,1689.04
145,2024-03-28 19:00:00,2024-03-28,CP95_PinbarKeltnerBuy,BUY,2221.81,2239.63,28.84,1717.87
