config_id,old_total_trades,new_total_trades,old_pf,new_pf,old_expectancy,new_expectancy,old_long_pf,new_long_pf,old_short_pf,new_short_pf,old_top3,new_top3,old_top5,new_top5,old_final_status,new_final_status,status_changed,reason
H-209-C1,3986,3986,0.9484108116806969,0.9511668758649251,-2.423371630809984,-2.28477170095332,0.9956504184445674,0.9898065252078464,0.8937596215259295,0.9055674891001166,N/A (-999),58.0%,N/A (-999),77.5%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-211-C4,3672,3672,0.8727008148219174,0.8668372369909665,-7.1738796723668194,-7.49346988795518,0.9446576667951364,0.9420997441947732,0.8091231757083288,0.8009325211608392,N/A (-999),78.4%,N/A (-999),93.8%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-212-C1,4092,4092,0.9629420641182572,0.9590196338820755,-1.5231775285508793,-1.6819813922636129,0.9283602914517818,0.920688087446502,0.9974563293037572,0.9975021766892108,N/A (-999),72.9%,N/A (-999),94.3%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-212-C2,3637,3637,0.9503829816538176,0.9405587204848561,-2.2066004224269946,-2.648638006206021,0.9359620182834192,0.9223081786999383,0.9646198189296706,0.9585812901220906,N/A (-999),63.8%,N/A (-999),89.1%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-212-C3,3725,3725,0.9853395672901548,0.9815881809692736,-0.6027833095363081,-0.7557526366250898,0.9705110618787848,0.9640603554973336,1.0000001363014406,0.9990511415095454,N/A (-999),69.3%,N/A (-999),86.2%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-212-C4,3339,3339,0.9914480408639784,0.982539753616794,-0.3763178278344957,-0.7690711504727314,0.9934103100607984,0.9817765042951849,0.9895270041417666,0.9832886284264523,N/A (-999),63.0%,N/A (-999),82.3%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-213-C1,5388,5388,1.0265497970674788,1.028044946847014,1.3356897531246683,1.4105147682680992,1.0914430558403925,1.0975572269225216,0.9603220337242716,0.9570137520830577,178.8%,64.3%,215.3%,77.4%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-213-C2,4656,4656,1.0335139851922193,1.0366760053389406,1.8219653697778144,1.9892588672066875,1.1482493009529802,1.156107007513937,0.9220322625681396,0.9209198381803453,152.3%,67.5%,183.0%,81.1%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-213-C3,4204,4204,1.056817469755855,1.0591037083109502,2.825210862302753,2.9368475601467723,1.1491455205696317,1.1507527334006658,0.953024953094896,0.9558468373303365,126.8%,72.2%,150.6%,85.8%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-213-C4,3584,3584,1.06279230524886,1.0620232070288385,3.39994178600534,3.3623116629464143,1.185334581971101,1.1797808526526263,0.9311051018124938,0.9350944640675373,102.8%,54.4%,130.3%,68.9%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-214-C1,3616,3616,0.9323310278714672,0.9364011213245902,-3.442400085033984,-3.227652891908945,1.023643282800093,1.0218968082504658,0.8497263817486537,0.8589759279928466,N/A (-999),69.5%,N/A (-999),89.9%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-214-C2,3263,3263,0.9531779475315328,0.9535105376264865,-2.552507917486917,-2.530394356639344,1.044371645702121,1.0369819669825846,0.8684429143224803,0.8757361725421794,N/A (-999),55.8%,N/A (-999),76.0%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-214-C3,2805,2805,0.9930273276828244,0.9960130688283506,-0.3462404047452876,-0.19752992105933537,1.0674510576801584,1.0659436078906213,0.9252925613531118,0.9324215591611164,N/A (-999),43.7%,N/A (-999),65.7%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
H-214-C4,2548,2548,1.024301315545204,1.0227765982912087,1.285961559537495,1.2040557019510882,1.143329043076079,1.1351913685550665,0.9150652123780516,0.9195100449973104,199.9%,44.8%,277.3%,62.1%,REJECTED,REJECTED,False,Evaluation window cleanly restricted to 2018Q2-2026Q2; profit pool denominator repaired
