n,mean_bps,median_bps,win_rate_pct,std_bps,skew,p01_bps,p05_bps,p10_bps,p25_bps,p50_bps,p75_bps,p90_bps,p95_bps,p99_bps,adverse_es_5_bps,favorable_es_5_bps,factor,factor_value,events_total,exact_horizon_events,gap_contaminated_pct,mean_mfe_bps,mean_mae_bps
67628,0.04752716370488281,0.11048289311252428,51.06612645649731,5.792849006923355,-0.30481509666165735,-16.874324849774126,-8.396143303689195,-5.636215767257397,-2.3714562932744707,0.11048289311252428,2.5905883927486104,5.705696915467114,8.316023400411558,15.49128892255012,-14.012965112255188,13.148463766084111,sweep_depth_atr_quartile,Q2,67908,67628,0.4535548094480757,3.671517827590766,3.7911334908869043
67621,0.04526158897206391,0.11195575508548836,51.075849218438066,5.837591988811254,-0.4622271880717239,-17.310628529322376,-8.411961058514906,-5.6268643225160035,-2.355121621552621,0.11195575508548836,2.6330847093731835,5.73714726698491,8.272414723725296,15.495501985656276,-14.246639567514675,13.136186925168113,sweep_depth_atr_quartile,Q3,67907,67621,0.46092449968339055,3.6497234553569124,3.7953853820182624
67467,-0.01630907355017088,0.07559378921420941,50.5995523737531,6.0785609852116185,-0.8334679414088125,-18.449571715500856,-8.697228923264158,-5.634152811592556,-2.3420129975894404,0.07559378921420941,2.5482920804202362,5.710912372706539,8.376357682790815,16.045387042677415,-15.200434015816755,13.468758634226916,sweep_depth_atr_quartile,Q4,67908,67467,0.7097838251752364,3.6916582269815996,3.9388101302387635
67680,0.10566475349070839,0.17180505427861253,51.92228132387707,5.9295605674657414,-0.7047893155912888,-17.673286381582148,-8.5390016265822,-5.650598265732352,-2.343994880800265,0.17180505427861253,2.7400454299013743,5.897898509566242,8.598926514152579,16.07510678121562,-14.523741510302154,13.42382786323559,reclaim_depth_atr_quartile,Q1,67908,67680,0.36961771808917687,3.7760929202260494,3.82794230593752
67620,0.05317699588684689,0.151745875541172,51.41526175687666,5.900611987012576,-1.0721474387013294,-17.27953440734254,-8.527380752884598,-5.648349157950106,-2.3360241669764434,0.151745875541172,2.6377173813425574,5.754629097168107,8.393808406204913,15.665240175524174,-14.44429873531481,13.20305067611407,reclaim_depth_atr_quartile,Q2,67908,67620,0.4535548094480757,3.6934665025244136,3.799253415137446
67634,0.039688481283444335,0.11827331733759529,51.20353668273354,5.822952052069941,-0.5663870117262787,-17.46705052157495,-8.446611277928474,-5.611680246738671,-2.320131093804317,0.11827331733759529,2.6119974030356827,5.692820800405234,8.214855339513509,15.298348148892753,-14.355599915099058,12.939085725079646,reclaim_depth_atr_quartile,Q3,67907,67634,0.43736286391682366,3.6436751315202764,3.8051965924669875
67485,-0.08077753566002822,0.0,49.30725346373268,6.085958528935138,-0.41554977562710477,-17.970287907747643,-8.710324601709297,-5.808643298345063,-2.5031289111392945,0.0,2.5024455718091234,5.709529732594984,8.367607020308677,16.282966341795134,-14.891790130721049,13.707725628863995,reclaim_depth_atr_quartile,Q4,67908,67485,0.6847499558225834,3.696078007527271,4.00512701264592
67727,0.09280151440690748,0.13630384853903954,51.39309285809205,5.468375091719522,-0.3537070929636404,-16.081683893518605,-7.966888978103307,-5.343696458784277,-2.2535132615075164,0.13630384853903954,2.548211879288637,5.559457563787956,8.05730813865831,15.036753435151912,-13.215272529296996,12.605162113976588,event_range_atr_quartile,Q1,67908,67727,0.2945161100312177,3.5240780033803314,3.5438565478895394
67699,0.05936750845332142,0.11151317806971699,51.04359000871504,5.771687875987036,-0.27878403650464284,-17.05231921409776,-8.472867767180082,-5.739365709627981,-2.392459099395391,0.11151317806971699,2.66266180822163,5.813178429730813,8.467944618096691,15.477473013937274,-13.990627862582258,13.141339876520169,event_range_atr_quartile,Q2,67908,67699,0.34311126818636906,3.6988704946420827,3.809490666570006
67639,-0.006672281692257686,0.10154242950407598,50.89371516432827,6.006477290272742,-1.0003881249316129,-18.27153060027451,-8.671002871531229,-5.760362966122171,-2.4080705977123147,0.10154242950407598,2.6390031950043262,5.789880806085084,8.445845474740556,15.697893446403102,-14.931475521906025,13.219546935622766,event_range_atr_quartile,Q3,67907,67639,0.4211642393273207,3.724598052840027,3.9526464285830425
67354,-0.02780450949324776,0.07417819851526353,50.519642485969655,6.455248662975839,-0.9051853999479581,-19.09767342722528,-9.183125716989641,-5.9042025501458335,-2.4646004255909166,0.07417819851526353,2.6523303648635275,5.903296139048654,8.64487135860371,17.014923051728367,-16.01313139546093,14.299374552499275,event_range_atr_quartile,Q4,67908,67354,0.8864934911939737,3.8628137145166535,4.1328725824567485
67655,0.08710399518916696,0.2207481153627643,52.16022466927795,6.185978611666286,-1.2252450180135808,-18.268183492622317,-8.942320142353218,-5.902392103693181,-2.435827653019864,0.2207481153627643,2.844297643692399,6.08874437162674,8.775635370954722,16.407798542202585,-15.245349402364551,13.694300282731723,close_location_snapback_quartile,Q1,67923,67655,0.42400954021465376,3.9128910240820605,3.9871700629334446
67602,0.06682810217440156,0.15391344167613996,51.462974468211,6.049062580511011,-0.4704065341270935,-17.66948983829842,-8.61274654081634,-5.658361580106037,-2.3472753731028972,0.15391344167613996,2.664812876293324,5.795207664917256,8.469891561653238,16.087222074264602,-14.740846758802432,13.609195372310934,close_location_snapback_quartile,Q2,67894,67602,0.4639585235808763,3.755025519983244,3.8709344428935464
