time,open,high,low,close,tick_volume,spread,real_volume,datetime_str
1559869200,1335.34,1335.85,1334.96,1335.1,414,24,0,2019-06-07 01:00:00
1559872800,1335.1,1335.1,1332.78,1333.3,785,24,0,2019-06-07 02:00:00
1559876400,1333.31,1334.18,1332.06,1333.1,1412,24,0,2019-06-07 03:00:00
1559880000,1333.1,1333.6,1332.71,1333.29,849,25,0,2019-06-07 04:00:00
1559883600,1333.29,1333.81,1332.82,1333.28,876,25,0,2019-06-07 05:00:00
1559887200,1333.29,1333.71,1332.4,1333.04,826,24,0,2019-06-07 06:00:00
1559890800,1332.94,1333.55,1332.48,1332.97,477,25,0,2019-06-07 07:00:00
1559894400,1332.95,1333.24,1332.04,1332.04,541,23,0,2019-06-07 08:00:00
1559898000,1332.04,1332.17,1330.18,1331.27,1403,24,0,2019-06-07 09:00:00
1559901600,1331.27,1335.47,1331.16,1335.28,1388,24,0,2019-06-07 10:00:00
1559905200,1335.35,1336.0,1334.95,1335.78,1030,24,0,2019-06-07 11:00:00
1559908800,1335.81,1335.86,1332.84,1332.9,1222,24,0,2019-06-07 12:00:00
1559912400,1332.9,1333.83,1332.68,1332.95,981,24,0,2019-06-07 13:00:00
1559916000,1332.95,1335.6,1332.93,1335.5,1166,24,0,2019-06-07 14:00:00
1559919600,1335.5,1345.0,1335.19,1340.99,5159,23,0,2019-06-07 15:00:00
1559923200,1340.91,1344.29,1339.91,1340.55,5321,23,0,2019-06-07 16:00:00
1559926800,1340.56,1348.18,1339.78,1344.9,4437,24,0,2019-06-07 17:00:00
1559930400,1344.9,1346.31,1338.53,1340.06,4029,23,0,2019-06-07 18:00:00
1559934000,1340.04,1343.92,1339.9,1343.02,2358,24,0,2019-06-07 19:00:00
1559937600,1343.03,1343.77,1340.56,1341.69,2151,24,0,2019-06-07 20:00:00
1559941200,1341.69,1341.79,1338.85,1340.16,1944,24,0,2019-06-07 21:00:00
1559944800,1340.16,1341.26,1339.96,1341.26,1458,24,0,2019-06-07 22:00:00
1559948400,1341.26,1341.26,1340.01,1340.3,546,25,0,2019-06-07 23:00:00
1560128400,1336.64,1336.64,1333.25,1334.56,1592,23,0,2019-06-10 01:00:00
1560132000,1334.56,1335.74,1334.36,1334.9,672,23,0,2019-06-10 02:00:00
1560135600,1334.9,1337.59,1334.9,1335.4,1540,24,0,2019-06-10 03:00:00
1560139200,1335.31,1335.31,1328.85,1330.14,2946,23,0,2019-06-10 04:00:00
1560142800,1330.15,1330.65,1328.72,1329.77,1486,24,0,2019-06-10 05:00:00
1560146400,1329.81,1330.07,1329.06,1329.4,910,25,0,2019-06-10 06:00:00
1560150000,1329.4,1329.72,1327.79,1328.09,878,24,0,2019-06-10 07:00:00
1560153600,1328.09,1328.53,1326.69,1326.91,945,24,0,2019-06-10 08:00:00
1560157200,1326.9,1327.69,1325.61,1326.8,1825,24,0,2019-06-10 09:00:00
1560160800,1326.88,1328.28,1325.78,1325.94,1511,24,0,2019-06-10 10:00:00
1560164400,1325.94,1327.29,1324.98,1326.96,1734,24,0,2019-06-10 11:00:00
1560168000,1326.96,1328.79,1326.79,1328.13,1552,24,0,2019-06-10 12:00:00
1560171600,1328.13,1329.08,1327.58,1328.06,1221,24,0,2019-06-10 13:00:00
1560175200,1328.06,1328.5,1325.02,1325.03,1473,24,0,2019-06-10 14:00:00
1560178800,1325.04,1330.02,1325.03,1329.1,3007,24,0,2019-06-10 15:00:00
1560182400,1329.1,1329.65,1327.78,1328.84,3366,23,0,2019-06-10 16:00:00
1560186000,1328.84,1329.95,1328.07,1329.12,2625,23,0,2019-06-10 17:00:00
1560189600,1329.16,1329.93,1327.81,1328.01,2355,24,0,2019-06-10 18:00:00
1560193200,1328.01,1328.11,1326.68,1327.21,1786,24,0,2019-06-10 19:00:00
1560196800,1327.21,1327.31,1325.18,1327.03,1750,24,0,2019-06-10 20:00:00
1560200400,1327.03,1329.64,1326.84,1327.72,2123,24,0,2019-06-10 21:00:00
1560204000,1327.73,1328.47,1327.32,1328.03,908,25,0,2019-06-10 22:00:00
1560207600,1328.03,1328.31,1327.61,1327.84,410,26,0,2019-06-10 23:00:00
1560214800,1327.55,1328.51,1327.51,1328.34,284,25,0,2019-06-11 01:00:00
1560218400,1328.31,1329.42,1328.15,1329.2,438,24,0,2019-06-11 02:00:00
1560222000,1329.28,1329.34,1328.11,1328.58,1398,25,0,2019-06-11 03:00:00
1560225600,1328.52,1329.79,1328.34,1328.91,2133,24,0,2019-06-11 04:00:00
1560229200,1328.91,1329.23,1328.01,1328.81,1072,24,0,2019-06-11 05:00:00
1560232800,1328.81,1329.11,1327.51,1328.57,1132,24,0,2019-06-11 06:00:00
1560236400,1328.57,1328.83,1328.08,1328.71,666,26,0,2019-06-11 07:00:00
1560240000,1328.7,1329.01,1328.06,1328.71,742,24,0,2019-06-11 08:00:00
1560243600,1328.69,1329.18,1324.45,1325.06,2303,24,0,2019-06-11 09:00:00
1560247200,1325.09,1326.32,1321.93,1322.83,2126,24,0,2019-06-11 10:00:00
1560250800,1322.76,1323.54,1321.79,1321.83,1825,24,0,2019-06-11 11:00:00
1560254400,1321.83,1322.6,1321.11,1322.35,1712,24,0,2019-06-11 12:00:00
1560258000,1322.35,1323.18,1321.68,1322.25,1121,24,0,2019-06-11 13:00:00
1560261600,1322.25,1322.55,1319.78,1320.36,1300,24,0,2019-06-11 14:00:00
1560265200,1320.38,1324.17,1319.78,1323.74,3395,24,0,2019-06-11 15:00:00
1560268800,1323.77,1325.05,1322.54,1324.28,3116,24,0,2019-06-11 16:00:00
1560272400,1324.3,1326.42,1323.75,1325.82,3276,24,0,2019-06-11 17:00:00
1560276000,1325.82,1326.83,1325.3,1325.63,2546,24,0,2019-06-11 18:00:00
1560279600,1325.62,1328.51,1325.61,1328.31,1979,24,0,2019-06-11 19:00:00
1560283200,1328.31,1328.7,1326.52,1327.8,2158,23,0,2019-06-11 20:00:00
1560286800,1327.8,1327.97,1327.17,1327.28,1218,24,0,2019-06-11 21:00:00
1560290400,1327.28,1327.47,1326.47,1326.7,1175,24,0,2019-06-11 22:00:00
1560294000,1326.69,1326.91,1326.51,1326.58,388,25,0,2019-06-11 23:00:00
1560301200,1326.39,1327.14,1326.18,1326.92,296,25,0,2019-06-12 01:00:00
1560304800,1326.92,1327.67,1326.54,1327.66,473,24,0,2019-06-12 02:00:00
1560308400,1327.67,1328.04,1326.22,1326.46,1126,25,0,2019-06-12 03:00:00
1560312000,1326.52,1328.77,1325.93,1328.75,1484,25,0,2019-06-12 04:00:00
1560315600,1328.75,1332.46,1328.55,1332.16,1547,25,0,2019-06-12 05:00:00
