time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
1421625600,2015-01-19 00:00:00,1279.77,1281.41,1271.85,1276.68,36887,39,0
1421712000,2015-01-20 00:00:00,1275.72,1297.05,1273.83,1294.84,88500,39,0
1421798400,2015-01-21 00:00:00,1294.28,1305.24,1284.42,1292.79,90408,39,0
1421884800,2015-01-22 00:00:00,1293.08,1307.47,1279.39,1301.48,84605,39,0
1421971200,2015-01-23 00:00:00,1301.22,1302.27,1284.15,1293.9,68971,39,0
1422230400,2015-01-26 00:00:00,1292.02,1298.95,1275.67,1280.91,72373,39,0
1422316800,2015-01-27 00:00:00,1280.91,1297.38,1272.14,1291.79,67979,39,0
1422403200,2015-01-28 00:00:00,1291.8,1293.69,1279.5,1283.31,59655,39,0
1422489600,2015-01-29 00:00:00,1284.27,1285.75,1251.79,1256.45,79968,39,0
1422576000,2015-01-30 00:00:00,1257.04,1284.59,1256.74,1283.41,67640,39,0
1422835200,2015-02-02 00:00:00,1281.34,1283.23,1266.34,1273.79,62190,39,0
1422921600,2015-02-03 00:00:00,1273.5,1285.6,1255.36,1259.34,71859,39,0
1423008000,2015-02-04 00:00:00,1260.12,1272.35,1256.5,1267.88,69529,39,0
1423094400,2015-02-05 00:00:00,1268.67,1273.88,1256.14,1264.3,65120,39,0
1423180800,2015-02-06 00:00:00,1264.27,1268.57,1228.19,1233.49,73233,35,0
1423440000,2015-02-09 00:00:00,1235.66,1243.49,1234.15,1238.07,46030,35,0
1423526400,2015-02-10 00:00:00,1238.09,1245.7,1230.85,1232.94,52895,35,0
1423612800,2015-02-11 00:00:00,1233.02,1238.58,1216.49,1217.96,48835,35,0
1423699200,2015-02-12 00:00:00,1218.0,1232.87,1216.34,1221.41,55495,35,0
1423785600,2015-02-13 00:00:00,1221.36,1234.85,1221.36,1229.3,49647,35,0
1424044800,2015-02-16 00:00:00,1226.79,1236.51,1226.56,1231.2,25810,35,0
1424131200,2015-02-17 00:00:00,1232.02,1233.77,1203.64,1208.66,47065,35,0
1424217600,2015-02-18 00:00:00,1209.16,1213.39,1197.44,1211.16,45099,35,0
1424304000,2015-02-19 00:00:00,1211.21,1222.79,1205.28,1205.66,47796,35,0
1424390400,2015-02-20 00:00:00,1205.71,1215.19,1197.88,1201.98,48354,35,0
1424649600,2015-02-23 00:00:00,1202.74,1210.24,1190.71,1200.66,37625,35,0
1424736000,2015-02-24 00:00:00,1201.3,1204.4,1190.13,1199.26,47748,35,0
1424822400,2015-02-25 00:00:00,1199.78,1211.67,1199.11,1203.91,38436,35,0
1424908800,2015-02-26 00:00:00,1204.37,1219.85,1203.11,1208.41,47926,33,0
1424995200,2015-02-27 00:00:00,1208.89,1219.28,1204.29,1213.01,44597,35,0
1425254400,2015-03-02 00:00:00,1212.89,1223.09,1204.44,1205.71,49980,35,0
