time,datetime_str,open,high,low,close,tick_volume,spread,real_volume
1713849300,2024-04-23 05:15:00,2312.45,2314.15,2307.35,2312.0,2849,27,0
1713850200,2024-04-23 05:30:00,2312.0,2313.46,2305.33,2310.59,2998,27,0
1713851100,2024-04-23 05:45:00,2310.6,2311.19,2300.26,2301.69,2894,27,0
1713852000,2024-04-23 06:00:00,2301.66,2304.67,2300.77,2301.92,3155,29,0
1713852900,2024-04-23 06:15:00,2302.08,2303.72,2301.05,2302.99,2033,27,0
1713853800,2024-04-23 06:30:00,2302.99,2307.1,2302.72,2304.43,1419,27,0
1713854700,2024-04-23 06:45:00,2304.46,2305.12,2302.38,2302.46,1366,27,0
1713855600,2024-04-23 07:00:00,2302.45,2306.7,2301.62,2305.58,1260,27,0
1713856500,2024-04-23 07:15:00,2305.58,2306.95,2304.62,2304.64,825,29,0
1713857400,2024-04-23 07:30:00,2304.64,2307.99,2304.33,2306.1,1294,27,0
1713858300,2024-04-23 07:45:00,2306.1,2306.53,2304.73,2305.38,1101,27,0
1713859200,2024-04-23 08:00:00,2305.39,2311.11,2304.23,2311.11,1545,27,0
1713860100,2024-04-23 08:15:00,2311.02,2314.58,2310.41,2310.57,1489,27,0
1713861000,2024-04-23 08:30:00,2310.58,2311.51,2307.27,2308.15,2372,27,0
1713861900,2024-04-23 08:45:00,2308.09,2308.88,2305.24,2308.08,1821,27,0
1713862800,2024-04-23 09:00:00,2308.12,2309.93,2304.3,2304.71,2248,27,0
1713863700,2024-04-23 09:15:00,2304.69,2307.45,2301.16,2302.49,2706,27,0
1713864600,2024-04-23 09:30:00,2302.51,2304.36,2298.75,2299.62,2434,27,0
1713865500,2024-04-23 09:45:00,2299.61,2304.39,2299.53,2301.85,2634,27,0
1713866400,2024-04-23 10:00:00,2301.79,2306.03,2301.07,2304.65,2051,27,0
1713867300,2024-04-23 10:15:00,2304.5,2310.01,2304.5,2308.32,2157,27,0
1713868200,2024-04-23 10:30:00,2308.3,2310.8,2306.78,2309.73,2602,27,0
1713869100,2024-04-23 10:45:00,2309.6,2311.17,2308.46,2308.91,1399,27,0
1713870000,2024-04-23 11:00:00,2309.05,2309.05,2305.61,2306.94,2462,27,0
1713870900,2024-04-23 11:15:00,2306.94,2309.63,2306.11,2307.5,1817,27,0
1713871800,2024-04-23 11:30:00,2307.67,2307.83,2303.67,2304.11,1778,27,0
1713872700,2024-04-23 11:45:00,2304.04,2304.25,2301.81,2303.18,1822,27,0
